Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-15.7804	-2.0433	-4.60517	-5.05146	-4.08044	-2.0433	-4.60517	-5.05146	-4.08044	
-15.7804	-2.0433	-4.60517	-5.05146	-4.08044	-2.0433	-4.60517	-5.05146	-4.08044	
-13.1104	-1.93517	-3.66516	-4.08044	-3.4296	-1.93517	-3.66516	-4.08044	-3.4296	
-13.1104	-1.93517	-3.66516	-4.08044	-3.4296	-1.93517	-3.66516	-4.08044	-3.4296	
-13.1104	-1.93517	-3.66516	-4.08044	-3.4296	-1.93517	-3.66516	-4.08044	-3.4296	
-13.8657	-1.68794	-3.4296	-5.62682	-3.1213	-1.68794	-3.4296	-5.62682	-3.1213	
-13.8657	-1.68794	-3.4296	-5.62682	-3.1213	-1.68794	-3.4296	-5.62682	-3.1213	
-14.1218	-1.88322	-4.60517	-4.41455	-3.21888	-1.88322	-4.60517	-4.41455	-3.21888	
-14.1218	-1.88322	-4.60517	-4.41455	-3.21888	-1.88322	-4.60517	-4.41455	-3.21888	
-14.1218	-1.88322	-4.60517	-4.41455	-3.21888	-1.88322	-4.60517	-4.41455	-3.21888	
-14.1218	-1.88322	-4.60517	-4.41455	-3.21888	-1.88322	-4.60517	-4.41455	-3.21888	
-13.5138	-2.40795	-3.32146	-3.54391	-4.24053	-2.40795	-3.32146	-3.54391	-4.24053	
-15.7804	-2.27887	-4.08044	-5.99146	-3.4296	-2.27887	-4.08044	-5.99146	-3.4296	
-14.5835	-1.68794	-3.4296	-5.05146	-4.41455	-1.68794	-3.4296	-5.05146	-4.41455	
-14.5835	-1.68794	-3.4296	-5.05146	-4.41455	-1.68794	-3.4296	-5.05146	-4.41455	
-14.5835	-1.68794	-3.4296	-5.05146	-4.41455	-1.68794	-3.4296	-5.05146	-4.41455	
-14.7282	-1.59702	-3.66516	-4.41455	-5.05146	-1.59702	-3.66516	-4.41455	-5.05146	
-16.8278	-1.735	-4.41455	-6.43775	-4.24053	-1.735	-4.41455	-6.43775	-4.24053	
