Hw[0]	Hw[1]	Hw[2]	Hw[3]	
0.951724	0.777778	0.992754	0.909091	
0.813793	0.844444	0.992754	0.909091	
0.885057	0.844444	0.978261	0.984848	
0.887356	0.8	0.98913	0.984848	
0.924138	0.911111	0.974638	0.984848	
0.822989	0.777778	0.98913	0.984848	
0.935632	0.955556	0.960145	0.969697	
0.825287	0.866667	0.981884	0.984848	
0.963218	0.888889	0.981884	0.954545	
0.857471	0.911111	0.98913	0.924242	
0.832184	0.955556	0.985507	0.984848	
0.898851	0.6	0.978261	0.954545	
0.928736	0.844444	0.98913	0.954545	
0.949425	0.866667	0.978261	0.969697	
0.889655	0.933333	0.981884	0.969697	
0.931034	0.933333	0.956522	0.984848	
0.94023	0.8	0.981884	0.984848	
0.816092	0.888889	0.981884	0.984848	
0.921839	0.866667	0.996377	0.984848	
0.811494	0.911111	0.945652	0.893939	
0.873563	0.955556	0.985507	0.984848	
0.926437	0.844444	0.985507	0.893939	
0.845977	0.866667	0.992754	0.969697	
0.910345	0.733333	0.98913	0.984848	
0.910345	0.933333	0.978261	0.969697	
0.866667	0.755556	0.971014	0.969697	
0.935632	0.844444	0.985507	0.969697	
0.756322	0.844444	0.985507	0.939394	
0.937931	0.755556	0.974638	0.984848	
0.841379	0.533333	0.985507	0.909091	
0.905747	0.977778	0.971014	0.863636	
0.956322	0.911111	0.992754	0.984848	
0.864368	0.666667	0.981884	0.939394	
0.94023	0.711111	0.992754	0.954545	
0.91954	0.955556	0.974638	0.984848	
0.88046	0.844444	0.992754	0.984848	
0.894253	0.866667	0.942029	0.909091	
0.866667	0.955556	0.98913	0.954545	
0.875862	0.977778	0.963768	1	
0.875862	0.644444	0.98913	0.984848	
0.891954	0.933333	0.985507	0.939394	
0.931034	0.755556	0.981884	0.984848	
0.898851	0.911111	0.98913	0.757576	
0.94023	0.844444	0.992754	0.939394	
0.887356	0.911111	0.963768	1	
0.91954	0.933333	0.985507	0.939394	
0.857471	0.933333	0.996377	0.772727	
0.91954	0.822222	0.98913	0.984848	
0.937931	0.822222	0.985507	0.757576	
0.855172	0.755556	0.996377	0.909091	
0.71954	0.533333	0.985507	1	
0.912644	0.866667	0.978261	0.909091	
0.662069	0.933333	0.978261	0.893939	
0.885057	0.866667	0.981884	0.984848	
0.908046	0.977778	0.974638	0.969697	
0.931034	0.955556	0.963768	0.969697	
0.914943	0.911111	0.992754	0.984848	
0.88046	0.955556	0.98913	0.954545	
0.951724	0.711111	0.992754	0.954545	
0.914943	0.844444	0.938406	0.984848	
0.852874	0.888889	0.978261	0.939394	
0.841379	0.911111	0.978261	0.954545	
0.954023	0.933333	0.992754	0.954545	
0.910345	0.844444	0.981884	0.893939	
0.809195	0.755556	0.978261	0.984848	
0.816092	0.755556	0.98913	0.984848	
0.94023	0.822222	0.992754	0.681818	
0.875862	0.911111	0.956522	0.954545	
0.827586	0.844444	0.978261	0.939394	
0.912644	0.8	0.98913	0.969697	
0.862069	0.888889	0.98913	0.757576	
0.917241	0.955556	0.952899	0.848485	
0.912644	0.866667	0.992754	0.909091	
0.917241	0.755556	0.974638	0.909091	
0.933333	0.644444	0.992754	0.984848	
0.921839	0.933333	0.981884	0.954545	
0.949425	0.911111	0.985507	0.984848	
0.944828	0.933333	0.98913	0.984848	
0.910345	0.933333	0.985507	0.984848	
0.894253	0.755556	0.98913	0.939394	
0.811494	0.977778	0.978261	0.969697	
0.933333	0.666667	0.985507	0.939394	
0.96092	0.911111	1	0.954545	
0.942529	0.866667	0.992754	0.984848	
0.924138	0.933333	0.971014	0.939394	
0.896552	0.844444	0.967391	1	
0.91954	0.911111	0.98913	0.969697	
0.76092	0.955556	0.996377	0.984848	
0.804598	0.955556	0.98913	0.939394	
0.921839	0.911111	0.974638	1	
0.954023	0.866667	0.992754	0.909091	
0.921839	0.8	0.996377	0.954545	
0.947126	0.911111	0.978261	0.984848	
0.914943	0.777778	0.985507	0.984848	
0.868966	0.911111	0.981884	1	
0.924138	0.844444	0.992754	0.969697	
0.88046	0.844444	0.978261	0.969697	
0.793103	0.911111	0.981884	0.969697	
0.917241	0.977778	0.996377	0.969697	
0.926437	0.911111	0.985507	0.954545	
0.921839	0.844444	0.996377	0.984848	
0.94023	0.955556	0.992754	0.833333	
0.926437	0.666667	0.996377	0.939394	
0.88046	0.911111	0.971014	0.954545	
0.898851	0.955556	0.996377	0.909091	
0.882759	0.777778	0.981884	1	
0.806897	0.844444	0.98913	0.984848	
0.912644	0.977778	0.98913	0.909091	
0.944828	0.711111	0.978261	0.984848	
0.903448	0.777778	0.985507	0.954545	
0.942529	0.888889	0.956522	0.893939	
0.933333	0.911111	0.996377	0.984848	
0.931034	0.866667	0.98913	0.984848	
0.898851	0.888889	0.945652	0.939394	
0.896552	0.8	0.981884	0.924242	
0.917241	0.911111	0.985507	0.969697	
0.947126	0.911111	0.978261	0.984848	
0.933333	0.866667	0.985507	0.984848	
0.903448	0.955556	0.967391	0.848485	
0.714943	0.844444	0.971014	0.909091	
0.921839	0.666667	0.992754	0.984848	
0.903448	0.8	0.974638	0.954545	
0.885057	0.844444	0.98913	0.833333	
0.905747	0.844444	0.992754	0.969697	
0.889655	0.911111	0.985507	0.984848	
0.928736	0.955556	0.971014	0.984848	
0.850575	0.977778	0.942029	0.984848	
0.944828	0.933333	0.985507	0.984848	
0.809195	0.866667	0.985507	0.984848	
0.885057	0.911111	0.978261	0.954545	
0.873563	0.933333	0.98913	0.969697	
0.935632	0.755556	0.985507	1	
0.85977	0.866667	0.98913	0.969697	
0.841379	0.911111	0.981884	1	
0.891954	0.977778	0.98913	0.893939	
0.944828	0.777778	0.98913	0.969697	
0.924138	0.933333	0.985507	1	
0.894253	0.955556	0.942029	0.969697	
0.924138	0.911111	0.98913	0.848485	
