R2[0]	R2[1]	R2[2]	R2[3]	
0.0741319	0.178662	0.0658513	0.111237	
0.0535979	0.149502	0.0826264	0.141479	
0.0478936	0.221191	0.0514708	0.0738891	
0.122359	0.120185	0.0676766	0.09881	
0.0494819	0.0821418	0.0596483	0.104911	
0.0652772	0.147367	0.0741476	0.0851847	
0.0901925	0.164572	0.0566167	0.153456	
0.123938	0.203853	0.0571634	0.0852685	
0.0613401	0.228169	0.0646163	0.0975152	
0.11461	0.0881396	0.0467935	0.123738	
0.0668531	0.123315	0.0607328	0.133324	
0.0884074	0.114191	0.0752815	0.185482	
0.153073	0.124468	0.0615295	0.112504	
0.0557136	0.171554	0.0523772	0.139849	
0.107073	0.142557	0.0675871	0.0907911	
0.0855314	0.136592	0.0534628	0.111949	
0.0594152	0.189382	0.0373566	0.103013	
0.0676428	0.1186	0.0939962	0.0795426	
0.0834257	0.0857635	0.0893652	0.0924471	
0.0705169	0.170815	0.104291	0.0792325	
0.0582319	0.112521	0.0751331	0.084135	
0.129675	0.0897797	0.0847332	0.099458	
0.0854701	0.0821418	0.0666788	0.116415	
0.0792325	0.187065	0.128747	0.0891622	
0.0722436	0.104919	0.0623644	0.150408	
0.0957415	0.0949119	0.0755943	0.0882038	
0.104921	0.216852	0.0521987	0.133657	
0.0764504	0.126747	0.0972759	0.135463	
0.0488467	0.11632	0.0743337	0.122924	
0.113724	0.224892	0.0704692	0.135187	
0.0640786	0.105791	0.0664279	0.12434	
0.0490289	0.153565	0.0991683	0.142391	
0.14082	0.111688	0.0478062	0.106286	
0.0652839	0.101413	0.0404897	0.0945456	
0.0862711	0.143765	0.0764466	0.170036	
0.0785533	0.135805	0.0591762	0.100313	
0.11412	0.11485	0.0583449	0.137692	
0.107818	0.234922	0.0656307	0.107371	
0.0803483	0.144783	0.121167	0.169837	
0.0728934	0.114191	0.102393	0.130219	
0.0645639	0.148578	0.120556	0.111326	
0.0657214	0.195402	0.143193	0.0979663	
0.0644465	0.100828	0.0753663	0.111212	
0.090954	0.114912	0.110898	0.152414	
0.0452692	0.110637	0.0514846	0.126474	
0.0784926	0.113334	0.0651726	0.0945456	
0.0815773	0.120643	0.0947046	0.0745673	
0.0510742	0.118095	0.0920107	0.166741	
0.123717	0.108772	0.0771602	0.095157	
0.0767546	0.118858	0.0552025	0.101572	
0.0638089	0.117641	0.0324043	0.0735497	
0.0879905	0.112978	0.0801233	0.13087	
0.0412704	0.118095	0.0428773	0.0988471	
0.129144	0.133578	0.0560778	0.143151	
0.0852501	0.110637	0.0834091	0.0984112	
0.101932	0.12694	0.099	0.0773709	
0.0717436	0.102897	0.0694918	0.0815885	
0.0990781	0.14204	0.0892409	0.111266	
0.0702172	0.117641	0.0572428	0.085747	
0.057317	0.145121	0.118569	0.0925297	
0.101506	0.165894	0.0510506	0.122568	
0.14141	0.117754	0.0743218	0.140952	
0.0633075	0.104276	0.077901	0.107252	
0.0501715	0.160263	0.0700931	0.0820098	
0.101874	0.124979	0.102829	0.144559	
0.0731879	0.114552	0.0750001	0.0791986	
0.134704	0.102494	0.0437197	0.142114	
0.0917248	0.164001	0.0940354	0.11839	
0.0664655	0.08974	0.0600284	0.0960295	
0.0568337	0.132989	0.114079	0.101944	
0.0983576	0.123951	0.0637831	0.138158	
0.0773797	0.124648	0.0580521	0.114766	
0.10413	0.191376	0.0547398	0.146913	
0.0427603	0.0861256	0.113261	0.142334	
0.0561626	0.134798	0.0639255	0.067849	
0.0575399	0.121972	0.0635876	0.139835	
0.113724	0.130319	0.0636182	0.0825889	
0.0635348	0.184429	0.116657	0.074022	
0.0878446	0.196607	0.0700126	0.101546	
0.140788	0.148622	0.0785211	0.067679	
0.0699892	0.0869919	0.0844308	0.10061	
0.133817	0.146618	0.0784437	0.089318	
0.0882006	0.147367	0.0795709	0.151565	
0.0862168	0.0722487	0.0971326	0.156633	
0.0440236	0.155516	0.120163	0.0988743	
0.053698	0.194761	0.0514441	0.151959	
0.0762859	0.149931	0.0478037	0.0665337	
0.0586152	0.138074	0.0796938	0.102941	
0.115965	0.101639	0.095609	0.122139	
0.0772948	0.122884	0.05296	0.167721	
0.0836963	0.16304	0.080937	0.132528	
0.129011	0.137195	0.0754757	0.150588	
0.0515888	0.1296	0.0478023	0.132083	
0.0425873	0.141846	0.0455741	0.0914145	
0.0812906	0.0785804	0.051919	0.0810084	
0.0696997	0.109469	0.0588724	0.111763	
0.0884014	0.135689	0.0676317	0.107654	
0.0580864	0.147367	0.0978792	0.18965	
0.08383	0.187008	0.0651814	0.116015	
0.0420416	0.123033	0.0805935	0.0937694	
0.0686405	0.193594	0.0833092	0.11238	
