ThetaTaj[0]	ThetaTaj[1]	ThetaTaj[2]	ThetaTaj[3]	
6.35172	3.42222	7.39493	4.34848	
2.32184	2.86667	6.53623	5.48485	
4.75172	2.62222	7.62319	4.39394	
3.7977	3.68889	6.57246	4.81818	
2.90575	4.48889	5.34058	3.78788	
2.98391	3.28889	10.2935	3.69697	
3.69655	2.2	9.40217	3.9697	
3.11954	4.24444	10.8116	3.21212	
2.72414	3.08889	8.78261	3.89394	
5.49885	2.88889	9.35145	4.74242	
2.5908	2.51111	7.53261	5	
3.70805	4.51111	12.7174	4.24242	
3.29885	3.08889	7.36957	6.01515	
4.2092	2.2	8.59058	4.06061	
4.54483	2.2	6.41304	5.12121	
3.38621	3.44444	10.471	5.59091	
1.76322	3.35556	8.48188	5.15152	
4.96552	5.11111	8.53623	5.34848	
2.9931	3.31111	7.87319	4.93939	
2.26897	3.57778	10.2971	5.93939	
5.95172	3.24444	6.22464	4.80303	
2.61839	2.66667	5.76087	4.33333	
3.11264	3.48889	8.59783	6.57576	
3.48046	2.35556	7.38768	3.43939	
4.86437	3.15556	7.08333	5.5	
4.68046	5.33333	7.83696	4.60606	
3.53563	3.88889	12.2101	6.36364	
3.37701	3.33333	10.7138	5.43939	
2.89195	2.53333	12.4891	4.06061	
3.0092	4.8	14.3587	3.93939	
2.5977	2.97778	8.44928	4.78788	
3.94713	2.93333	11.7101	5.98485	
2.21609	3.26667	6.4529	5.10606	
2.82989	3.31111	7.52536	4.33333	
3.41609	2.86667	10.0145	4.19697	
2.2092	2.68889	10.0616	6.19697	
5.34253	2.35556	7.36232	3.84848	
3.58851	3.24444	7.01449	4.71212	
2.98161	3.42222	5.13406	3.63636	
3.89655	3.33333	8.46014	5.36364	
1.81149	2.68889	5.74275	3.62121	
5.50345	3.82222	6.3913	5.62121	
3.84368	3.26667	9.06522	4.60606	
4.44598	3.48889	10.5399	3.63636	
3.22529	3.26667	8.28623	4.24242	
4.26897	3.82222	10.0471	3.90909	
3.16092	3.42222	7.00725	4.12121	
2.61149	3.75556	12.2101	4.13636	
4.30115	4.2	5.93478	5.15152	
5.95172	3.46667	8.9058	5.71212	
2.90345	2.82222	8.80435	4.45455	
2.47356	4.06667	8.28986	3.37879	
4.56322	2.2	11.2645	5.74242	
3.27586	3.13333	8.89493	3.80303	
5.67816	2.53333	6.02536	5.60606	
4.11494	2.46667	10.3442	5.07576	
3.11034	2.86667	6.85507	4.60606	
2.62759	3.6	11.6739	4.72727	
4.51264	2.62222	7.75725	5.78788	
3.48736	3.6	7.09783	4.93939	
4.65747	2.35556	6.47101	6.0303	
1.70575	2.71111	11.8587	3.31818	
2.68506	3.48889	7.6087	3.5303	
2.75862	3.17778	7.5471	5.57576	
4.9954	3.44444	7.65942	3.89394	
3.08736	4.37778	11.8514	3.59091	
3.86667	4.55556	7.73188	4.63636	
5.98621	3.84444	8.61232	3.62121	
3.09195	2.82222	9.20652	4.78788	
5.67586	4.06667	8.79348	4.33333	
4.0069	3.66667	8.89855	5.66667	
3.86667	2.35556	10.5978	6.16667	
2.2092	3.68889	12.1957	4.42424	
2.68966	4.68889	6.38406	3.71212	
3.46437	3.6	5.82609	3.10606	
2.86207	3.62222	8.77536	4.5	
5.05747	3	10.0217	4.84848	
3.45057	3.55556	6.46014	6.13636	
3.85517	2.51111	9.25362	5.40909	
5.53103	3.51111	8.69565	5.95455	
1.93563	3.42222	6.05072	5.40909	
1.75402	2.97778	6.1413	4.06061	
3.66207	2.84444	6.18116	3.34848	
3.23908	3	6.96377	5.01515	
3.6092	3.66667	8.01812	4.86364	
2.54483	3.66667	10.8732	7.04545	
3.78391	2.35556	7.82246	5.27273	
2.08276	2.35556	8.9058	4.51515	
3.1931	4.64444	8.96014	4.5303	
3.8069	2.97778	6.36957	4.75758	
3.49885	2.35556	7.92029	5.31818	
3.81839	3.42222	9.28623	6.24242	
4.33333	3.42222	11.8514	4.36364	
2.07586	3.13333	6.69565	4.45455	
5.16322	4.22222	9.38768	5.07576	
1.72184	3.51111	9.17029	3.83333	
3.64368	4.11111	9.43116	4.57576	
4.81149	2.82222	7.17029	5.27273	
2.51264	4.17778	11.3007	6.45455	
4.09885	2.46667	8.30797	5.75758	
3.82529	3.64444	9.08333	2.9697	
4.48276	3.4	7.44565	5.86364	
2.3977	4.6	6.73551	5.27273	
2.81839	4.64444	8.07609	4.5303	
3.52874	4.48889	7.56884	4.34848	
2.86897	5.02222	9.65217	4.31818	
3.53333	3.84444	7.05072	5.90909	
3.90575	3.28889	6.84783	4.56061	
3.45057	3.6	6.8442	3.98485	
4.3977	2.62222	6.90942	3.65152	
2.6046	4.62222	8.6413	5.01515	
3.16322	3.15556	8.47826	7.54545	
2.88046	4.57778	7.42754	5.30303	
2.43448	3.68889	6.60145	4.57576	
3.29885	3.88889	7.21377	6.15152	
3.07356	3.24444	9.05797	5.75758	
2.08046	3.28889	7.35145	5.54545	
2.56782	2.86667	8.18841	4.81818	
3.18161	2.82222	8.89855	3.72727	
2.61149	2.77778	12.4457	3.48485	
2.74713	4.26667	9.81522	4.83333	
5.02989	3.17778	11.5906	5.0303	
4.41839	3.02222	6.67391	4.68182	
3.66667	3.53333	7.02174	4.16667	
2.56092	4.35556	9.83333	4.78788	
2.62299	3.33333	9.09783	5.56061	
2.02299	2.97778	11.4022	5.15152	
3.68736	2.53333	8.66304	4.33333	
2.96322	4.51111	10.7862	3.87879	
