mlcoalsim version 09v3beta (20060206)
OUTPUT FILE: date 02/12/06 17:34:46 

Input data from the file: l2f1r12.txt

Finite island model. Population parameters in function of 4Ne
except the parameters that indicate the size of the populations, as Ne).

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          10000
Seed1:                 4638

N_loci:                1
N_sites:               3927
N_samples:             11
Mutations:             96
Sfix_allthetas:        1
Range_thetant:         1
Thetant_min:           0.000500
Thetant_max:           0.060000
Recombination:         12
Nintn:                 5
Nrec:                  1 1 0.01 0.01 1
Npast:                 1 0.01 0.01 1 1
Tpast:                 0.045 1E-006 0.005 1E-006 4

REJECTION ALGORITHM OF TAVARE et al. 1997. Fix S and screening all probable thetas.  Rejection algorithm n. 2.

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-2.0369	-2.4049	-2.3909	-2.612	-3.5021	-3.7665	16.473	0.12632	0.1875	0.13991	na	1	1	0.050655	96	0	0	32.776	18.836	2.3636	-0.90981	0.10486	0.090909	0.090909	
-0.83602	1.3271	0.27862	-0.0093175	0.55655	0.16634	-29.691	0.54737	0.57292	0.57565	na	0.81818	0.94545	0.1163	96	0	0	32.776	27.055	56.745	-0.37343	-0.189	0.27273	0.36364	
-1.7499	-2.1786	-2.1147	-2.2952	-3.1216	-3.3328	15.8	0.10526	0.16667	0.13666	na	1	1	0.056022	96	0	0	32.776	20.8	5	-0.78165	0.10058	0.090909	0.090909	
-1.633	-2.0957	-2.1147	-2.261	-3.1216	-3.2893	14.6	0.063158	0.11458	0.089389	na	1	1	0.04699	96	0	0	32.776	21.6	7	-0.72944	0.09294	0.090909	0.090909	
-1.4046	-1.9463	-1.6545	-1.806	-2.4875	-2.6595	18.127	0.084211	0.14583	0.12108	na	1	1	0.074174	96	0	0	32.776	23.164	5.0364	-0.62738	0.11539	0.090909	0.090909	
-1.9146	-2.3043	-2.1607	-2.3822	-3.1851	-3.4487	16.745	0.042105	0.0625	0.070486	na	1	1	0.040277	96	0	0	32.776	19.673	2.9273	-0.85522	0.1066	0.090909	0.090909	
-1.6118	-2.0811	-1.4704	-1.7113	-1.663	-2.0288	2.0909	0.14737	0.19792	0.18483	na	1	1	0.077423	96	0	0	32.776	21.745	19.655	-0.71994	0.01331	0.090909	0.18182	
-1.9731	-2.3515	-2.2988	-2.5157	-3.3753	-3.6338	15.945	0.073684	0.11458	0.092734	na	1	1	0.043519	96	0	0	32.776	19.273	3.3273	-0.88133	0.1015	0.090909	0.090909	
0.86428	-0.99272	0.46273	0.64291	0.42972	0.69112	1.9818	0.45263	0.47917	0.51914	na	1	1	0.17863	96	0	0	32.776	38.691	36.709	0.38605	0.012616	0.090909	0.18182	
-1.7606	-0.53687	-2.0227	-2.2207	-2.9948	-3.2279	17.055	0.063158	0.10417	0.092875	na	0.90909	0.98182	0.052861	96	0	0	32.776	20.727	3.6727	-0.7864	0.10856	0.18182	0.18182	
