Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-28.0562	-3.60424	-9.23024	-9.23024	-5.99146	-3.60424	-9.23024	-9.23024	-5.99146
-28.0562	-3.60424	-9.23024	-9.23024	-5.99146	-3.60424	-9.23024	-9.23024	-5.99146
-27.8239	-2.92567	-9.23024	-9.23024	-6.43775	-2.92567	-9.23024	-9.23024	-6.43775
-28.7639	-4.31196	-9.23024	-9.23024	-5.99146	-4.31196	-9.23024	-9.23024	-5.99146
-27.4353	-4.15888	-9.23024	-9.23024	-4.81589	-4.15888	-9.23024	-9.23024	-4.81589
-25.9702	-3.09513	-9.23024	-9.23024	-4.41455	-3.09513	-9.23024	-9.23024	-4.41455
-29.2477	-3.77414	-9.23024	-9.23024	-7.01312	-3.77414	-9.23024	-9.23024	-7.01312
-31.2145	-3.52381	-9.23024	-9.23024	-9.23024	-3.52381	-9.23024	-9.23024	-9.23024
-30.6989	-3.00815	-9.23024	-9.23024	-9.23024	-3.00815	-9.23024	-9.23024	-9.23024
-30.61	-2.91925	-9.23024	-9.23024	-9.23024	-2.91925	-9.23024	-9.23024	-9.23024
-31.562	-3.87131	-9.23024	-9.23024	-9.23024	-3.87131	-9.23024	-9.23024	-9.23024
-30.3849	-2.69415	-9.23024	-9.23024	-9.23024	-2.69415	-9.23024	-9.23024	-9.23024
-30.6587	-2.98785	-9.23024	-9.23024	-9.21034	-2.98785	-9.23024	-9.23024	-9.21034
-32.2758	-4.58507	-9.23024	-9.23024	-9.23024	-4.58507	-9.23024	-9.23024	-9.23024
-29.9296	-3.64506	-9.23024	-9.23024	-7.82405	-3.64506	-9.23024	-9.23024	-7.82405
-30.9096	-3.21888	-9.23024	-9.23024	-9.23024	-3.21888	-9.23024	-9.23024	-9.23024
-32.1053	-4.41455	-9.23024	-9.23024	-9.23024	-4.41455	-9.23024	-9.23024	-9.23024
-28.4614	-2.98785	-9.23024	-9.23024	-7.01312	-2.98785	-9.23024	-9.23024	-7.01312
-31.5825	-3.89182	-9.23024	-9.23024	-9.23024	-3.89182	-9.23024	-9.23024	-9.23024
-31.4446	-3.75383	-9.23024	-9.23024	-9.23024	-3.75383	-9.23024	-9.23024	-9.23024
-30.5493	-2.87843	-9.23024	-9.23024	-9.21034	-2.87843	-9.23024	-9.23024	-9.21034
-31.1004	-4.81589	-9.23024	-9.23024	-7.82405	-4.81589	-9.23024	-9.23024	-7.82405
-30.0587	-2.38784	-9.23024	-9.23024	-9.21034	-2.38784	-9.23024	-9.23024	-9.21034
-31.7312	-4.06034	-9.23024	-9.23024	-9.21034	-4.06034	-9.23024	-9.23024	-9.21034
-29.3654	-3.08089	-9.23024	-9.23024	-7.82405	-3.08089	-9.23024	-9.23024	-7.82405
-28.6521	-3.17847	-9.23024	-9.23024	-7.01312	-3.17847	-9.23024	-9.23024	-7.01312
-30.6301	-2.93935	-9.23024	-9.23024	-9.23024	-2.93935	-9.23024	-9.23024	-9.23024
-27.7525	-2.85423	-9.23024	-9.23024	-6.43775	-2.85423	-9.23024	-9.23024	-6.43775
-27.9791	-3.08089	-9.23024	-9.23024	-6.43775	-3.08089	-9.23024	-9.23024	-6.43775
-27.8815	-3.4296	-9.23024	-9.23024	-5.99146	-3.4296	-9.23024	-9.23024	-5.99146
-27.7734	-3.32146	-9.23024	-9.23024	-5.99146	-3.32146	-9.23024	-9.23024	-5.99146
-26.5315	-2.75249	-9.23024	-9.23024	-5.31852	-2.75249	-9.23024	-9.23024	-5.31852
-29.3654	-3.89182	-9.23024	-9.23024	-7.01312	-3.89182	-9.23024	-9.23024	-7.01312
-28.1171	-3.66516	-9.23024	-9.23024	-5.99146	-3.66516	-9.23024	-9.23024	-5.99146
-27.2044	-2.75249	-9.23024	-9.23024	-5.99146	-2.75249	-9.23024	-9.23024	-5.99146
-28.5634	-3.66516	-9.23024	-9.23024	-6.43775	-3.66516	-9.23024	-9.23024	-6.43775
-26.7614	-2.67405	-9.23024	-9.23024	-5.62682	-2.67405	-9.23024	-9.23024	-5.62682
-26.6131	-2.83413	-9.23024	-9.23024	-5.31852	-2.83413	-9.23024	-9.23024	-5.31852
-27.3062	-3.21888	-9.23024	-9.23024	-5.62682	-3.21888	-9.23024	-9.23024	-5.62682
-26.8398	-2.75249	-9.23024	-9.23024	-5.62682	-2.75249	-9.23024	-9.23024	-5.62682
-27.3712	-2.91925	-9.23024	-9.23024	-5.99146	-2.91925	-9.23024	-9.23024	-5.99146
-25.988	-2.71167	-9.23024	-9.23024	-4.81589	-2.71167	-9.23024	-9.23024	-4.81589
-26.9003	-3.1213	-9.23024	-9.23024	-5.31852	-3.1213	-9.23024	-9.23024	-5.31852
-26.0902	-2.57826	-9.23024	-9.23024	-5.05146	-2.57826	-9.23024	-9.23024	-5.05146
-27.5732	-3.1213	-9.23024	-9.23024	-5.99146	-3.1213	-9.23024	-9.23024	-5.99146
-26.9979	-3.21888	-9.23024	-9.23024	-5.31852	-3.21888	-9.23024	-9.23024	-5.31852
-27.2453	-2.79331	-9.23024	-9.23024	-5.99146	-2.79331	-9.23024	-9.23024	-5.99146
-26.8073	-3.02826	-9.23024	-9.23024	-5.31852	-3.02826	-9.23024	-9.23024	-5.31852
-26.5201	-3.00815	-9.23024	-9.23024	-5.05146	-3.00815	-9.23024	-9.23024	-5.05146
-26.4998	-2.98785	-9.23024	-9.23024	-5.05146	-2.98785	-9.23024	-9.23024	-5.05146
-26.5315	-2.75249	-9.23024	-9.23024	-5.31852	-2.75249	-9.23024	-9.23024	-5.31852
-26.8002	-3.52381	-9.23024	-9.23024	-4.81589	-3.52381	-9.23024	-9.23024	-4.81589
-26.7184	-2.93935	-9.23024	-9.23024	-5.31852	-2.93935	-9.23024	-9.23024	-5.31852
-26.1657	-2.65374	-9.23024	-9.23024	-5.05146	-2.65374	-9.23024	-9.23024	-5.05146
-27.8411	-3.38919	-9.23024	-9.23024	-5.99146	-3.38919	-9.23024	-9.23024	-5.99146
-26.8599	-2.77259	-9.23024	-9.23024	-5.62682	-2.77259	-9.23024	-9.23024	-5.62682
-27.1461	-4.08044	-9.23024	-9.23024	-4.60517	-4.08044	-9.23024	-9.23024	-4.60517
-30.2893	-2.59857	-9.23024	-9.23024	-9.23024	-2.59857	-9.23024	-9.23024	-9.23024
-30.9513	-3.26054	-9.23024	-9.23024	-9.23024	-3.26054	-9.23024	-9.23024	-9.23024
-31.1203	-3.4296	-9.23024	-9.23024	-9.23024	-3.4296	-9.23024	-9.23024	-9.23024
-30.545	-2.85423	-9.23024	-9.23024	-9.23024	-2.85423	-9.23024	-9.23024	-9.23024
-30.719	-3.02826	-9.23024	-9.23024	-9.23024	-3.02826	-9.23024	-9.23024	-9.23024
-30.2491	-2.57826	-9.23024	-9.23024	-9.21034	-2.57826	-9.23024	-9.23024	-9.21034
-30.812	-3.1213	-9.23024	-9.23024	-9.23024	-3.1213	-9.23024	-9.23024	-9.23024
-30.6991	-3.02826	-9.23024	-9.23024	-9.21034	-3.02826	-9.23024	-9.23024	-9.21034
-28.9032	-3.4296	-9.23024	-9.23024	-7.01312	-3.4296	-9.23024	-9.23024	-7.01312
-29.5034	-3.21888	-9.23024	-9.23024	-7.82405	-3.21888	-9.23024	-9.23024	-7.82405
-27.9959	-3.54391	-9.23024	-9.23024	-5.99146	-3.54391	-9.23024	-9.23024	-5.99146
-27.3913	-2.93935	-9.23024	-9.23024	-5.99146	-2.93935	-9.23024	-9.23024	-5.99146
-29.4833	-3.19878	-9.23024	-9.23024	-7.82405	-3.19878	-9.23024	-9.23024	-7.82405
-28.097	-3.64506	-9.23024	-9.23024	-5.99146	-3.64506	-9.23024	-9.23024	-5.99146
-28.5748	-3.10119	-9.23024	-9.23024	-7.01312	-3.10119	-9.23024	-9.23024	-7.01312
-27.0267	-2.93935	-9.23024	-9.23024	-5.62682	-2.93935	-9.23024	-9.23024	-5.62682
-27.4601	-3.00815	-9.23024	-9.23024	-5.99146	-3.00815	-9.23024	-9.23024	-5.99146
-28.0195	-3.1213	-9.23024	-9.23024	-6.43775	-3.1213	-9.23024	-9.23024	-6.43775
-26.9778	-3.19878	-9.23024	-9.23024	-5.31852	-3.19878	-9.23024	-9.23024	-5.31852
-27.0955	-2.19722	-9.23024	-9.23024	-6.43775	-2.19722	-9.23024	-9.23024	-6.43775
-27.4802	-3.02826	-9.23024	-9.23024	-5.99146	-3.02826	-9.23024	-9.23024	-5.99146
-25.7521	-2.47575	-9.23024	-9.23024	-4.81589	-2.47575	-9.23024	-9.23024	-4.81589
-25.9199	-2.85423	-9.23024	-9.23024	-4.60517	-2.85423	-9.23024	-9.23024	-4.60517
-27.3913	-2.93935	-9.23024	-9.23024	-5.99146	-2.93935	-9.23024	-9.23024	-5.99146
-25.9676	-2.45565	-9.23024	-9.23024	-5.05146	-2.45565	-9.23024	-9.23024	-5.05146
-26.1105	-2.59857	-9.23024	-9.23024	-5.05146	-2.59857	-9.23024	-9.23024	-5.05146
-27.5732	-3.1213	-9.23024	-9.23024	-5.99146	-3.1213	-9.23024	-9.23024	-5.99146
-24.8007	-2.40795	-9.23024	-9.23024	-3.93223	-2.40795	-9.23024	-9.23024	-3.93223
-26.9003	-3.1213	-9.23024	-9.23024	-5.31852	-3.1213	-9.23024	-9.23024	-5.31852
-25.3952	-2.85423	-9.23024	-9.23024	-4.08044	-2.85423	-9.23024	-9.23024	-4.08044
-25.4803	-2.93935	-9.23024	-9.23024	-4.08044	-2.93935	-9.23024	-9.23024	-4.08044
-25.9033	-3.02826	-9.23024	-9.23024	-4.41455	-3.02826	-9.23024	-9.23024	-4.41455
-26.1306	-2.61867	-9.23024	-9.23024	-5.05146	-2.61867	-9.23024	-9.23024	-5.05146
-26.1105	-2.83413	-9.23024	-9.23024	-4.81589	-2.83413	-9.23024	-9.23024	-4.81589
-25.6476	-2.77259	-9.23024	-9.23024	-4.41455	-2.77259	-9.23024	-9.23024	-4.41455
-24.436	-2.54593	-9.23024	-9.23024	-3.4296	-2.54593	-9.23024	-9.23024	-3.4296
-26.005	-2.93935	-9.23024	-9.23024	-4.60517	-2.93935	-9.23024	-9.23024	-4.60517
-24.9288	-2.67405	-9.23024	-9.23024	-3.79424	-2.67405	-9.23024	-9.23024	-3.79424
-25.0114	-2.61867	-9.23024	-9.23024	-3.93223	-2.61867	-9.23024	-9.23024	-3.93223
-25.1596	-2.61867	-9.23024	-9.23024	-4.08044	-2.61867	-9.23024	-9.23024	-4.08044
-25.2268	-2.52583	-9.23024	-9.23024	-4.24053	-2.52583	-9.23024	-9.23024	-4.24053
-25.2233	-3.21888	-9.23024	-9.23024	-3.54391	-3.21888	-9.23024	-9.23024	-3.54391
-25.8749	-2.59857	-9.23024	-9.23024	-4.81589	-2.59857	-9.23024	-9.23024	-4.81589
-25.3952	-2.69415	-9.23024	-9.23024	-4.24053	-2.69415	-9.23024	-9.23024	-4.24053
-24.5087	-2.61867	-9.23024	-9.23024	-3.4296	-2.61867	-9.23024	-9.23024	-3.4296
-25.9762	-3.10119	-9.23024	-9.23024	-4.41455	-3.10119	-9.23024	-9.23024	-4.41455
-25.6476	-2.77259	-9.23024	-9.23024	-4.41455	-2.77259	-9.23024	-9.23024	-4.41455
-25.6622	-3.1213	-9.23024	-9.23024	-4.08044	-3.1213	-9.23024	-9.23024	-4.08044
-24.8586	-2.85423	-9.23024	-9.23024	-3.54391	-2.85423	-9.23024	-9.23024	-3.54391
-25.0273	-2.77259	-9.23024	-9.23024	-3.79424	-2.77259	-9.23024	-9.23024	-3.79424
-30.4432	-2.75249	-9.23024	-9.23024	-9.23024	-2.75249	-9.23024	-9.23024	-9.23024
-30.4233	-2.75249	-9.23024	-9.21034	-9.23024	-2.75249	-9.23024	-9.21034	-9.23024
-30.5251	-2.85423	-9.23024	-9.21034	-9.23024	-2.85423	-9.23024	-9.21034	-9.23024
