ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	ThetaFW[4]	
0	0	0.0151515	0	0	
0	0.0151515	0	0	0.030303	
5.45455	2.22727	0.0151515	0	0	
0	0	0	0	0.0151515	
0	0	0.0151515	0.0151515	0	
0	0	24	23.9394	5.63636	
0.0151515	0	0	0	0	
0	0	0	0	0.0151515	
0	0.0151515	25.9697	11.0606	14.7424	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	7.37879	
0	0	0	0	0	
0	0	0	0	0.030303	
0	0	0	0	0	
0	0	33.2424	20.3333	12.9091	
5.5	0	0	0	0	
0	0	0	0	0	
0	0	13.9394	15.5152	1.57576	
0	0	0.0151515	0	1.86364	
0	0	0	0	0.0151515	
0	0	0	0.0151515	16.6515	
0	0	0	0.0151515	0	
0	0	0	1.95455	0.0909091	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0.030303	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0.0151515	1.89394	
0	0	0	0	0	
11.0909	0	0	5.57576	14.7424	
5.56061	3.72727	0	0	0	
0	0	0	0	9.31818	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	22.2576	12.9394	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	7.40909	0.0151515	
0	0	0	0.0151515	0	
0	0	0	9.30303	1.83333	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0.0151515	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0.030303	0	0	
0	0.0151515	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.0151515	0	0	0	0	
0	0	24.0303	11.0606	0.0757576	
0.0151515	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0.0151515	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	3.75758	18.5455	5.51515	
0	0	0	0	0	
0	0	0	0	0	
0	0	3.68182	9.34848	3.10606	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0.030303	0.0151515	0.0151515	0	0	
0	0	0.0151515	0	0	
0	0	0	7.4697	12.9697	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.136364	
0	0	0	0.0606061	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0.0151515	0.0151515	0.0151515	0	
0	0.0151515	0.0151515	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0.0454545	0	0	1.69697	0.242424	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	23.9697	1.89394	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	5.60606	1.83333	14.9091	
0	0	0	0	0	
0	0	0	0.030303	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
7.36364	0	14.8939	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	20.3182	3.72727	5.5303	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0.0151515	
0.0151515	0.0151515	0	3.68182	5.60606	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	14.7273	3.72727	9.24242	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	1.83333	12.9091	7.34848	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0.0151515	1.83333	0	0	
0	0	0.0151515	0	0	
0	0.0151515	0	0.0151515	0	
0	0.0151515	7.39394	22.2273	22.1515	
0.0151515	0	0	0	0	
0	0.0151515	0	0	0	
0	0.0151515	5.59091	0	1.83333	
0	0	0	0	0	
9.21212	0.0151515	0.0151515	0.0151515	0	
0	0.0151515	0	0.0151515	0	
0	0.0151515	0	0	0	
