H[0]	H[1]	H[2]	H[3]	H[4]	
0	0.151515	0	0	0	
0.151515	0	-7.27273	-6.9697	-7.72727	
0	0	-25.6061	-0.757576	-12.7879	
0	0	0	0	0	
0	0	-8.48485	-3.63636	-10.6061	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0.30303	0	0	
0	0	-7.51515	-8.72727	-8.72727	
0	0	0	0	-1.51515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	-5	0.151515	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0.151515	0	0	
0	0.151515	0	0	0.30303	
-8.88178e-16	-0.636364	0.151515	0	0	
0	0	0	0	0.151515	
0	0	0.151515	0.151515	0	
0	0	-20	-20.6061	-3.63636	
0.151515	0	0	0	0	
0	0	0	0	0.151515	
0	0.151515	-20.303	-9.39394	-12.5758	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	-6.21212	
0	0	0	0	0	
0	0	0	0	0.30303	
0	0	0	0	0	
0	0	-27.5758	-16.6667	-6.54545	
-5	0	0	0	0	
0	0	0	0	0	
0	0	-9.69697	-10.6667	-0.969697	
0	0	0.151515	0	-1.36364	
0	0	0	0	0.151515	
0	0	0	0.151515	-13.4848	
0	0	0	0.151515	0	
0	0	0	-0.454545	0.909091	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0.30303	0.151515	0	0	
0	0	0	0	0	
0	0	0	0.151515	-1.06061	
0	0	0	0	0	
-9.09091	0	0	-4.24242	-12.5758	
-4.39394	-2.72727	0	0	0	
0	0	0	0	-6.81818	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	-17.4242	-10.6061	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	-5.90909	0.151515	
0	0	0	0.151515	0	
0	0	0	-6.9697	-1.66667	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0.151515	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0.30303	0	0	
0	0.151515	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.151515	0	0	0	0	
0	0	-19.697	-9.39394	0.757576	
0.151515	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0.151515	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	-2.42424	-14.5455	-4.84848	
0	0	0	0	0	
0	0	0	0	0	
0	0	-3.18182	-6.15152	-1.66667	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0.30303	0.151515	0.151515	0	0	
0	0	0.151515	0	0	
0	0	0	-5.30303	-10.303	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.272727	
0	0	0	0.242424	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0.151515	0.151515	0.151515	0	
0	0.151515	0.151515	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0.454545	0	0	-0.484848	0.969697	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	-20.303	-1.06061	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	-3.93939	-1.66667	-10.9091	
0	0	0	0	0	
0	0	0	0.30303	0	
0	0	0	0	0	
0	0.151515	0	0	0	
-6.36364	0	-11.0606	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	-16.8182	-2.72727	-4.69697	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0.151515	
0.151515	0.151515	0	-3.18182	-3.93939	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	-12.7273	-2.72727	-7.57576	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	-1.66667	-10.9091	-6.51515	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0.151515	-1.66667	0	0	
0	0	0.151515	0	0	
0	0.151515	0	0.151515	0	
0	0.151515	-6.06061	-17.7273	-18.4848	
0.151515	0	0	0	0	
0	0.151515	0	0	0	
0	0.151515	-4.09091	0	-1.66667	
0	0	0	0	0	
-7.87879	0.151515	0.151515	0.151515	0	
0	0.151515	0	0.151515	0	
0	0.151515	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0.151515	0	0	0.151515	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	-3.18182	-7.42424	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	-14.7879	-13.8182	
0	0	0	0	0	
