FFn[0]	FFn[1]	FFn[2]	FFn[3]	
1.13565	-0.703037	0.950175	-0.400838	
0.560447	0.521545	0.597184	-0.737687	
-3.0185	1.18216	-0.483651	-0.998326	
-1.728	-0.961786	0.454374	0.215903	
-0.164514	-1.21132	0.664211	-0.272476	
0.41487	1.68326	0.093686	-0.412901	
-0.204719	0.0152098	0.0721304	-0.693265	
-0.0477095	0.354597	0.387288	0.534584	
-0.775098	-0.887714	0.166971	0.57714	
-0.812968	-0.152764	-0.391127	0.403971	
0.328096	0.419322	-0.163879	0.395709	
-1.18618	0.143006	0.363898	0.376089	
-0.726301	-0.0890331	-0.0316474	0.106775	
-0.348261	0.591463	0.145625	0.00452152	
