ZnA[0]	ZnA[1]	ZnA[2]	ZnA[3]	
0.22964	0.166667	0.349249	0.209254	
0.375817	0.372953	0.190804	0.147085	
0.161368	0.670414	0.21283	0.306291	
0.196839	0.420048	0.307209	0.436885	
0.198291	0.444444	0.180854	0.175934	
0.146192	0.354911	0.185597	0.238347	
0.230343	0.312353	0.198768	0.333143	
0.376961	0.380278	0.179303	0.315226	
0.359635	0.735881	0.219545	0.247028	
0.170931	0.433862	0.240278	0.444705	
0.170331	0.152888	0.28202	0.257149	
0.0996096	0.19453	0.229823	0.398194	
0.171473	0.376623	0.259693	0.225778	
0.200198	0.578348	0.288178	0.275509	
0.347068	0.370608	0.259702	0.374475	
0.230385	0.506173	0.283737	0.268371	
0.247035	0.253023	0.275788	0.42613	
0.279222	0.107143	0.173817	0.0425773	
0.192939	0.443798	0.257593	0.256505	
0.044859	0.378858	0.215651	0.280929	
0.346504	0.0606399	0.199838	0.18321	
0.209516	0.0123457	0.307107	0.191647	
0.229491	0.216049	0.338627	0.313164	
0.144068	0.455247	0.186619	0.164295	
0.0941805	0.723372	0.301385	0.223663	
0.177573	0.408069	0.15553	0.414867	
0.308966	0.184671	0.144265	0.247774	
0.308278	0.387385	0.318957	0.49427	
0.146799	0.672533	0.111486	0.200663	
0.212851	0.246858	0.312808	0.220267	
0.17816	0.180907	0.254398	0.374988	
0.1181	0.0828924	0.360746	0.184577	
0.258544	0.176955	0.178405	0.244062	
0.205217	0.309799	0.266754	0.281037	
0.167521	0.219136	0.247614	0.266979	
0.317804	0.756944	0.291199	0.215139	
0.180954	0.32831	0.201947	0.148995	
0.407588	0.443362	0.188487	0.243156	
0.145972	0.377455	0.164459	0.202911	
0.151987	0.283608	0.242419	0.134702	
0.242996	0.389172	0.165536	0.131065	
0.274494	0.591982	0.398173	0.127278	
0.192761	0.533565	0.151152	0.370498	
0.264108	0.571759	0.271269	0.326114	
0.402627	0.277425	0.203953	0.368794	
0.142086	0.601852	0.212855	0.314769	
0.215114	0.460776	0.252125	0.236466	
0.262021	0.425926	0.21373	0.222439	
0.197594	0.219276	0.257193	0.174481	
0.23114	0.182374	0.327986	0.479942	
0.186079	0.180384	0.245441	0.364989	
0.150673	0.37996	0.251844	0.30485	
0.338437	0.219136	0.207795	0.199225	
0.269226	0.710758	0.244612	0.246058	
0.271589	0.168182	0.191121	0.255301	
0.171434	0.777778	0.297065	0.219463	
0.309801	0.281817	0.226253	0.136492	
0.240966	0.454733	0.21774	0.231875	
0.182621	0.255902	0.270326	0.196135	
0.282898	0.158436	0.266894	0.220132	
0.164434	0.411728	0.270201	0.173666	
0.206483	0.304134	0.346073	0.250502	
0.280673	0.574769	0.218178	0.173835	
0.25993	0.0573192	0.279792	0.286402	
0.247951	0.168871	0.30042	0.201231	
0.223351	0.404762	0.148815	0.309089	
0.201034	0.820261	0.151959	0.226453	
0.320664	0.357458	0.188649	0.260462	
0.0972793	0.609719	0.215547	0.294574	
0.161092	0.414156	0.246298	0.331458	
0.117715	0.283234	0.228942	0.197807	
0.304512	0.481329	0.280829	0.232977	
0.29394	0.104828	0.299696	0.216004	
0.133926	0.593034	0.303401	0.260648	
0.230242	0.533258	0.249472	0.324215	
0.215884	0.234664	0.297197	0.247635	
0.199874	0.372367	0.173752	0.459918	
0.247399	0.542549	0.196473	0.19956	
0.227468	0.40376	0.208051	0.271402	
0.29905	0.357285	0.24596	0.520023	
0.0731349	0.196128	0.202948	0.183958	
0.256115	0.175816	0.232748	0.291247	
0.117808	0.0174897	0.244623	0.415865	
0.10434	0.471801	0.217107	0.231268	
0.402253	0.294974	0.244701	0.377409	
0.274297	0.402949	0.139754	0.259201	
0.278607	0.0617284	0.177686	0.229632	
0.344336	0.895425	0.260494	0.271445	
0.220032	0.250257	0.171938	0.209567	
0.145712	0.430439	0.268673	0.34719	
0.216416	0.0347222	0.219579	0.26414	
0.212731	0.445833	0.172533	0.322567	
0.119999	0.703704	0.167786	0.238893	
0.188343	0.500139	0.316249	0.206325	
0.156946	0.493827	0.263427	0.312942	
0.154362	0.242798	0.298353	0.225218	
0.186797	0.340829	0.226709	0.254422	
0.233574	0.322541	0.218183	0.127052	
0.278589	0.215561	0.283502	0.324376	
0.0723886	0.273208	0.327117	0.251284	
0.246286	0.54793	0.321371	0.248797	
0.350552	0.265432	0.295338	0.211901	
0.130994	0.616739	0.338479	0.122564	
0.152302	0.0711346	0.253879	0.254112	
0.209838	0.558642	0.248242	0.325594	
0.17335	0.491476	0.233093	0.242203	
0.430281	0.298942	0.279772	0.290618	
0.11284	0.513228	0.24975	0.183622	
0.219945	0.371032	0.228218	0.282393	
0.253031	0.215454	0.415514	0.262833	
0.301189	0.181548	0.173091	0.421573	
0.237837	0.193122	0.285463	0.266299	
0.0337794	0.189815	0.198197	0.490058	
0.384977	0.500868	0.261529	0.293555	
0.133848	0.201286	0.186929	0.266061	
0.310825	0.462081	0.222353	0.237984	
0.197082	0.0219907	0.356468	0.247788	
0.204161	0.201527	0.161202	0.149498	
0.14753	0.499807	0.220266	0.264186	
0.222123	0.166667	0.201959	0.234826	
0.136462	0.412037	0.295184	0.103142	
0.347694	0.789377	0.339225	0.270223	
0.204579	0.525227	0.282994	0.368034	
0.188787	0.400794	0.226182	0.191224	
0.256878	0.553571	0.215662	0.292866	
0.232557	0.254866	0.199755	0.212292	
0.385921	0.154266	0.367816	0.36098	
0.242247	0.431818	0.287847	0.0934199	
0.0836628	0.129504	0.185635	0.314463	
0.246249	0.383157	0.291879	0.34783	
0.257561	0.164738	0.17554	0.267492	
0.261191	0.316211	0.272478	0.349474	
0.36027	0.171076	0.184491	0.102881	
0.37107	0.406324	0.136834	0.28427	
0.135387	0.397873	0.336283	0.131361	
0.188712	0.258547	0.199075	0.256331	
0.181578	0.474106	0.180996	0.381348	
0.212491	0.103836	0.257617	0.37724	
0.262637	0.0868607	0.224531	0.188609	
0.10254	0.517747	0.203119	0.0952292	
0.251295	0.550581	0.259392	0.354568	
0.315623	0.181929	0.212913	0.176157	
0.207347	0.183502	0.18545	0.298153	
0.157658	0.520227	0.250914	0.266791	
0.113286	0.891975	0.29931	0.192887	
0.12523	0.344036	0.352049	0.241712	
0.209105	0.0149177	0.270602	0.308177	
0.325491	0.0432099	0.234829	0.102416	
0.241922	0.578189	0.220512	0.329977	
0.17521	0.624288	0.248334	0.36658	
0.175335	0.267196	0.265584	0.216604	
0.302313	0.322751	0.300716	0.140366	
0.254211	0.888889	0.176146	0.203057	
0.191143	0.384816	0.286044	0.220677	
0.224008	0.298942	0.278767	0.326513	
0.303899	0.1778	0.216835	0.179197	
0.306191	0.260863	0.158537	0.370413	
0.270415	0.777778	0.210593	0.465421	
0.23639	0.281581	0.279671	0.28398	
0.254436	0.349308	0.180541	0.167935	
0.088484	0.184548	0.326791	0.334284	
0.440036	0.441551	0.217291	0.283033	
0.0950438	0.704861	0.228833	0.291335	
0.222383	0.116512	0.272561	0.320514	
0.248836	0.350036	0.232573	0.268536	
0.248309	0.465493	0.268399	0.194974	
0.187938	0.411265	0.208106	0.192813	
0.184612	0.359292	0.256618	0.307827	
0.240177	0.389771	0.181519	0.423689	
0.214724	0.237056	0.168872	0.291854	
0.25227	0.266865	0.326107	0.205649	
0.161538	0.385931	0.1961	0.345272	
0.170086	0.556193	0.261229	0.392439	
0.128002	0.569902	0.215929	0.207905	
0.108014	0.466333	0.262439	0.530144	
0.142975	0.292524	0.268983	0.245873	
0.245019	0.477513	0.232948	0.247745	
0.0862883	0.391582	0.206492	0.182752	
0.191607	0.520503	0.251349	0.155902	
0.214088	0.252897	0.250602	0.178767	
0.177981	0.45	0.175963	0.235408	
0.3013	0.724427	0.203175	0.268732	
0.298826	0.333719	0.195643	0.264696	
0.306682	0.164886	0.196465	0.39234	
0.201861	0.290447	0.288531	0.255545	
0.281126	0.0582877	0.377263	0.227131	
0.115682	0.14756	0.198501	0.356886	
0.335122	0.0534979	0.184564	0.259321	
0.413179	0.646465	0.230995	0.381187	
0.142625	0.361111	0.216467	0.270448	
0.209435	0.396373	0.244569	0.233044	
0.100396	0.662037	0.159582	0.313051	
0.349582	0.479592	0.271773	0.15581	
0.107163	0.0770723	0.238159	0.181473	
0.162213	0.483479	0.204834	0.293348	
0.227043	0.771305	0.164281	0.261944	
0.200521	0.239148	0.321756	0.445715	
0.227655	0.388542	0.218515	0.238358	
0.154085	0.211861	0.224466	0.38009	
0.108136	0.433128	0.292141	0.358622	
0.111643	0.0881564	0.248799	0.389785	
0.125308	0.2788	0.22508	0.116166	
0.221068	0.566358	0.236663	0.164516	
0.358194	0.300309	0.281681	0.268021	
0.14045	0.245679	0.281001	0.421111	
0.294601	0.14159	0.222785	0.355071	
0.226717	0.301367	0.283483	0.295922	
0.176619	0.111883	0.249236	0.337737	
0.181958	0.506173	0.347321	0.11674	
0.321482	0.663866	0.161528	0.421433	
0.166294	0.210748	0.272534	0.207374	
0.155377	0.223986	0.407125	0.335323	
0.384826	0.442387	0.181246	0.415615	
0.157724	0.351852	0.274303	0.166671	
0.195118	0.860009	0.210502	0.211641	
0.231973	0.39674	0.228205	0.401114	
0.174697	0.268149	0.260279	0.291193	
0.260042	0.460784	0.282277	0.227649	
0.202055	0.470109	0.124945	0.158022	
0.324053	0.717474	0.211082	0.228285	
0.162383	0.455247	0.238846	0.200639	
0.210977	0.477513	0.321089	0.254885	
0.111545	0.644444	0.262984	0.213694	
0.383175	0.504868	0.202194	0.296291	
0.180289	0.130015	0.177096	0.277756	
0.170673	0.234568	0.245934	0.258693	
0.346983	0.399802	0.260045	0.218032	
0.112464	0.28847	0.251019	0.341058	
0.121829	0.498236	0.244886	0.287997	
0.180145	0.197972	0.202685	0.245753	
0.174183	0.288821	0.184018	0.199305	
0.346739	0.593504	0.269299	0.259866	
0.138317	0.484127	0.237219	0.124362	
0.114242	0.274365	0.300991	0.3177	
0.24507	0.119048	0.1652	0.305828	
0.151454	0.206432	0.257867	0.279834	
0.185884	0.623506	0.233928	0.273093	
0.280624	0.394452	0.218927	0.306979	
0.122127	0.254437	0.254993	0.212862	
0.210477	0.401358	0.279995	0.21497	
0.251565	0.420842	0.32582	0.268684	
0.162997	0.45553	0.166047	0.367565	
0.102165	0.303477	0.397717	0.239953	
0.385678	0.344136	0.255691	0.291236	
0.29849	0.505208	0.181829	0.253597	
0.333708	0.481371	0.23606	0.147456	
0.251126	0.406722	0.225579	0.21056	
0.23609	0.645503	0.279363	0.463908	
0.303628	0.160926	0.152886	0.259616	
0.154363	0.62963	0.398915	0.128178	
0.260923	0.35319	0.289567	0.279539	
0.145532	0.30582	0.21334	0.40789	
0.20643	0.295003	0.317852	0.236178	
0.224229	0.153439	0.21739	0.330471	
0.292462	0.498772	0.190358	0.312827	
0.165392	0.45216	0.192323	0.25748	
0.28511	0.262395	0.245601	0.292554	
0.352055	0.406274	0.216964	0.209392	
0.3085	0.660991	0.19893	0.261785	
0.289643	0.0748089	0.243136	0.155342	
0.226939	na	0.317636	0.259002	
0.209237	0.571727	0.207864	0.0625976	
0.272245	0.251323	0.12907	0.163137	
0.46099	0.530093	0.25058	0.40483	
0.245243	0.373219	0.294506	0.246044	
0.188049	0.57483	0.207783	0.402017	
0.253696	0.207058	0.341192	0.187411	
0.38139	0.427167	0.212704	0.442919	
0.116285	0.514991	0.191055	0.253447	
0.174459	0.387599	0.302451	0.314439	
0.233754	0.255197	0.255791	0.216389	
0.377649	0.455169	0.319702	0.343596	
0.154619	0.152637	0.25159	0.193421	
0.0213377	0.356962	0.296806	0.283835	
0.12929	0.385802	0.286515	0.227129	
0.233939	0.321399	0.182605	0.0994507	
0.149718	0.305941	0.175315	0.272758	
0.0955763	0.355297	0.310417	0.357061	
0.12279	0.280423	0.310289	0.262551	
0.237503	0.0123457	0.225778	0.21291	
0.275417	0.595238	0.201762	0.341312	
0.151452	0.331178	0.223128	0.310767	
0.174618	0.168871	0.195214	0.196738	
0.240838	0.537037	0.289043	0.293562	
0.228125	0.400077	0.242699	0.15413	
0.161459	0.194478	0.272098	0.162066	
0.0706739	0.149912	0.155254	0.259261	
0.0980769	0.829932	0.234019	0.228739	
0.0804375	0.324432	0.178883	0.275211	
0.247268	0.368999	0.256584	0.185173	
0.268394	0.313368	0.205891	0.257767	
0.217498	0.244709	0.204671	0.26166	
0.162263	0.519676	0.280844	0.230135	
0.388598	0.398148	0.285431	0.225482	
0.232793	0.386347	0.291615	0.243026	
0.287004	0.458912	0.286847	0.273968	
0.270354	0.431665	0.248202	0.358377	
0.494832	0.334705	0.229395	0.272796	
0.110345	0.775132	0.210662	0.271584	
0.242352	0.27908	0.252045	0.227818	
0.272877	0.259902	0.338655	0.246453	
0.270651	0.382165	0.199814	0.218028	
0.23793	0.103909	0.192572	0.195121	
0.336017	0.390432	0.210291	0.250239	
0.245487	0.0432099	0.266012	0.426999	
0.212945	0.228136	0.262395	0.285744	
0.161686	0.195602	0.17193	0.153158	
0.227302	0.162183	0.272681	0.390789	
0.213679	0.310148	0.268975	0.350266	
0.212991	0.167769	0.224911	0.13585	
0.030207	0.469096	0.222628	0.203692	
0.166724	0.35114	0.189668	0.231302	
0.243782	0.426257	0.356782	0.231347	
0.191045	0.14777	0.26018	0.227601	
0.179515	0.33165	0.126743	0.458328	
