Pwh[0]	Pwh[1]	Pwh[2]	Pwh[3]	
0.456773	1.72249	0.0557407	0.135802	
0.113222	0.18595	0.0769445	0.160584	
0.0870871	0.348837	0.0484253	0.108731	
0.0901741	0.62069	0.0259716	0.148649	
0.0835093	1.08579	0.0965598	0.0870712	
0.0932276	0.699482	0.129062	0.319355	
0.127007	0.436893	0.0882353	0.130435	
0.0935886	0.6	0.0482897	0.200913	
0.120432	0.588235	0.030636	0.294643	
0.174699	2.29927	0.138415	0.140127	
0.392599	0.163043	0.11862	0.316547	
0.125324	1.51163	0.0247268	0.329451	
0.102257	0.526316	0.0440683	0.200913	
0.100601	0.351562	0.0580442	0.115587	
0.0858666	0.692308	0.0771704	0.162562	
0.263556	0.306122	0.0848122	0.198795	
0.122122	2.56329	0.0294809	0.146018	
0.103301	1.19205	0.14675	0.243542	
0.107196	0.555556	0.0423021	0.161369	
0.101399	0.690184	0.0719218	0.223729	
0.38874	0.185185	0.230408	0.125475	
0.06398	0.90604	0.0359375	0.0895522	
0.154915	0.276074	0.112229	0.108731	
0.114867	0.697674	0.0534936	0.0973451	
0.108968	0.456853	0.19196	0.138655	
0.104996	1.04651	0.066394	0.0921788	
0.166348	0.924658	0.213193	0.174603	
0.270061	0.352941	0.0623447	0.111111	
0.0774297	0.703125	0.0847666	0.107843	
0.204082	0.737705	0.133737	0.237838	
0.144928	1.65899	0.0910365	0.133874	
0.0874372	0.529412	0.116198	0.184874	
0.197189	0.292208	0.0469308	0.10061	
0.119505	0.6	0.059987	0.179837	
0.190706	1.15157	0.0761589	0.114783	
0.0909281	3.18182	0.0633463	0.323529	
0.0959841	0.35248	0.0471795	0.14442	
0.197368	1.2	0.214476	0.111864	
0.130513	0.405405	0.0238692	0.14966	
0.11908	0.523256	0.154969	0.186704	
0.105225	0.478723	0.142312	0.137214	
0.29612	0.283019	0.0747765	0.271605	
0.336687	0.592105	0.0643107	0.0923077	
0.0883608	0.892351	0.0412494	0.0782918	
0.0650321	1.44	0.121779	0.0834387	
0.1122	1.71756	0.0471231	0.209524	
0.0855121	0.3125	0.0592975	0.120658	
0.200415	1.04167	0.108342	0.216749	
0.103301	0.565327	0.0462622	0.120219	
0.0702746	0.18595	0.0578192	0.289474	
0.086861	1.21622	0.0770448	0.103937	
0.088289	0.347938	0.410145	0.426724	
0.155219	0.208333	0.135281	0.176944	
0.443878	0.420561	0.094878	0.293333	
0.0973154	0.319149	0.110312	0.0851613	
0.376623	1.13208	0.0619668	0.493766	
0.216095	0.868726	0.0846691	0.104928	
0.0810207	0.172414	0.185359	0.186969	
0.104819	0.340909	0.111111	0.261905	
0.0875075	0.441176	0.127955	0.108911	
0.104718	0.248619	0.0317059	0.121547	
0.121407	1.35542	0.0641413	0.175066	
0.0970982	0.288462	0.099361	0.130952	
0.098729	0.697674	0.0217597	0.217822	
0.850717	2.45455	0.0593676	0.124764	
0.124464	0.494505	0.118374	0.170984	
0.097687	0.907781	0.0762852	0.28884	
0.118545	0.330882	0.0592593	0.0767442	
0.178718	0.318021	0.163137	0.113402	
0.0778315	0.319149	0.0774411	0.244898	
0.0772647	0.445545	0.15794	0.181319	
0.165462	0.381356	0.0391823	0.188571	
0.142623	0.695876	0.0685544	0.452055	
0.278608	0.323741	0.0307213	0.0983607	
0.0660492	0.529412	0.177166	0.193833	
0.150467	0.517241	0.0735804	0.124528	
0.131679	0.829787	0.0357559	0.486486	
0.392599	0.783582	0.187155	0.115993	
0.0980171	0.393013	0.0837379	0.188034	
0.0801843	0.703125	0.119287	0.102644	
0.153656	0.478723	0.127733	0.283871	
0.25024	0.36	0.0320669	0.204651	
0.270186	0.321429	0.0536235	0.166667	
0.123404	2.61954	0.063815	0.121996	
0.124108	0.602679	0.0579528	0.162562	
0.0729743	0.737705	0.138138	0.173684	
0.147158	0.48913	0.0670066	0.165414	
0.187218	2.57576	0.0471634	0.147651	
0.147859	1.13065	0.0885609	0.0983607	
0.135303	0.642857	0.170913	0.248588	
0.220309	0.529412	0.102393	0.141328	
0.0830946	2.63415	0.0430242	0.0810811	
0.164898	0.703125	0.183121	0.185393	
0.0865155	0.483871	0.0374288	0.193265	
0.0968173	0.511364	0.112286	0.208861	
0.0762623	1.64565	0.100254	0.143167	
0.252907	0.633803	0.103837	0.347368	
0.105762	0.56962	0.195502	0.180575	
0.290484	0.177866	0.056229	0.146341	
0.15442	0.529412	0.0698439	0.110368	
0.42815	2.02247	0.0504709	0.1841	
0.0934479	0.436893	0.0569248	0.123364	
0.186375	0.403587	0.143731	0.250474	
0.227154	0.412844	0.0749864	0.454545	
0.508262	1.62371	0.141587	0.157518	
0.138183	1.121	0.117982	0.247655	
0.0795683	0.3	0.0257271	0.108911	
0.182581	0.141509	0.0646219	0.0983607	
0.133641	0.463918	0.111089	0.304147	
0.142576	1.14286	0.0825935	0.128655	
0.353371	0.647482	0.113277	0.113014	
0.13598	0.636792	0.135627	0.22	
0.0775954	0.576923	0.0826842	0.156028	
0.0681605	0.16129	0.0336462	0.104265	
0.125144	1.48352	0.15873	0.0900409	
0.0897277	1.35542	0.0506515	0.218543	
0.15778	0.855513	0.0266255	0.226804	
0.364933	1.07784	0.123141	0.300912	
0.122604	0.849057	0.123091	0.109635	
0.157552	0.929752	0.176493	0.268293	
0.130945	0.762712	0.0589996	0.0842912	
0.106985	0.584416	0.093758	0.0929577	
0.779011	0.927835	0.0704171	0.30485	
0.0993831	0.365854	0.0616003	0.401216	
0.218758	1.29032	0.209329	0.128906	
0.113252	0.21028	0.111551	0.15566	
0.138623	0.292208	0.0569836	0.254826	
0.171665	1.16129	0.0745879	0.33	
0.157723	0.343511	0.120722	0.106109	
0.12372	0.322581	0.110643	0.232394	
0.0908142	0.529412	0.0551338	0.113402	
3.29545	2.95082	0.0474512	0.145695	
0.109269	0.423197	0.206653	0.204019	
0.167179	0.225	0.1091	0.256311	
0.165399	0.668317	0.0899902	0.0730088	
0.0611384	0.371901	0.0844639	0.145695	
0.105917	0.505618	0.0579284	0.140426	
0.191041	1.46341	0.0257848	0.179592	
0.122777	1.65746	0.151982	0.114583	
0.192095	0.238095	0.0482517	0.0884718	
0.297741	1.11801	0.123288	0.181319	
0.0571917	0.198238	0.0875264	0.176944	
0.135093	0.214286	0.0584994	0.133874	
0.256033	0.381356	0.0627772	0.455172	
0.168083	0.266272	0.167171	0.284483	
0.104042	2.38938	0.121132	0.326733	
0.0891393	0.456853	0.0529903	0.0944206	
0.118788	0.234375	0.170226	0.228902	
0.063007	0.258621	0.0820777	0.231986	
0.217283	0.229592	0.326666	0.127168	
0.150155	0.6	0.182278	0.241758	
0.294815	1	0.0526517	0.133065	
0.195155	1.44737	0.0411265	0.176235	
0.0785482	0.2267	0.0456576	0.126679	
0.100092	0.351562	0.105143	0.145055	
0.0795683	1.30435	0.0341415	0.103611	
0.160457	0.394737	0.0504064	0.184358	
0.204995	4.19776	0.0398729	0.122222	
0.115846	1.09533	0.0446241	0.565714	
0.0824957	0.241935	0.05366	0.198198	
0.119967	1.34831	0.272214	0.172324	
0.0777758	1.18421	0.0905809	0.114187	
0.0472723	1.23711	0.0961003	0.211538	
0.119145	0.260116	0.0528483	0.1875	
0.113105	1.27451	0.255272	0.214054	
0.527592	1.34328	0.0432128	0.14966	
0.412635	0.554187	0.0683337	0.197605	
0.232994	0.45	0.0293367	0.181818	
0.176973	0.652174	0.220146	0.151376	
0.275316	0.633803	0.177819	0.132265	
0.185977	0.387931	0.19708	0.196721	
0.109351	2.02247	0.128163	0.113597	
0.159108	0.27439	0.210618	0.258824	
0.174384	0.266272	0.0816568	0.102644	
0.144976	1.36089	0.0914134	0.133874	
0.151357	0.859873	0.0545724	0.159806	
0.106853	0.393586	0.0705702	0.109091	
0.0875428	0.436893	0.0351906	0.0770128	
0.0925532	0.323741	0.0550184	0.143634	
0.186296	1.23853	0.234894	0.13851	
0.217446	0.778547	0.0269111	0.095791	
0.22943	0.174419	0.0604644	0.114983	
0.0919467	0.725806	0.0552958	0.120879	
0.116031	1.59763	0.0651404	0.421725	
0.105403	0.656934	0.0372822	0.332494	
0.090399	0.298013	0.070113	0.162963	
0.0616497	1.08871	0.114227	0.249057	
0.0881816	1.01504	0.0259301	0.152778	
0.0936894	1.13272	0.125912	0.217822	
0.154639	0.508475	0.0519236	0.138947	
0.0843514	1.26276	0.052046	0.137787	
0.10774	0.218447	0.0380427	0.169231	
0.131738	0.825688	0.150327	0.123364	
0.2175	0.809353	0.0707269	0.337596	
0.151674	0.459184	0.041958	0.121996	
0.0605428	0.348837	0.14534	0.198198	
0.185897	0.384615	0.177511	0.790419	
0.146811	0.387931	0.113115	0.113402	
0.0946475	0.45	0.209302	0.128405	
0.0819981	0.252809	0.0733457	0.184874	
0.102305	0.706806	0.0644483	0.336163	
0.0741182	1.90834	0.172473	0.0810811	
0.113134	0.432692	0.0840183	0.340206	
0.0704568	5	0.0432907	0.309859	
0.215489	1.37195	0.10481	0.150342	
0.13503	0.436893	0.102927	0.152425	
0.0687421	0.616438	0.0514877	0.285714	
0.0906628	0.862069	0.0601788	0.0708915	
0.104819	0.532544	0.0329867	0.295964	
0.103252	0.157895	0.260518	0.132797	
0.107673	0.384615	0.0542453	0.326733	
0.151674	1.45161	0.0718002	0.196429	
0.0648576	0.245902	0.165766	0.110368	
0.0808851	0.18	0.0241978	0.135524	
0.430267	0.963303	0.0795236	0.20339	
0.128546	0.272727	0.0689483	0.177419	
0.285246	0.613636	0.0560938	0.0688217	
0.0687638	0.294118	0.0965119	0.125954	
0.18491	0.376569	0.122758	0.132	
0.148515	0.283019	0.0387668	0.170543	
0.334358	0.891089	0.0550733	0.105263	
0.0751815	0.420561	0.100007	0.24581	
0.151252	2.5	0.0758554	0.24	
0.118062	1.69659	0.0252216	0.211538	
0.0757048	0.323741	0.152217	0.155294	
0.102959	0.416667	0.0995432	0.116197	
0.127286	0.889831	0.0695974	0.102009	
0.0618689	0.3125	0.076054	0.101695	
0.11811	0.206422	0.176197	0.168798	
0.092083	0.616438	0.0340069	0.315036	
0.207439	1.2766	0.0740211	0.10443	
0.120934	0.405405	0.106536	0.249527	
0.0886489	0.75	0.0967177	0.0885906	
0.0783501	0.27439	0.157804	0.111486	
0.0992018	0.346154	0.0975265	0.0973451	
