ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	
5.08506	6.15556	35.8333	10.7424	
2.62989	5.33333	45.7862	5.24242	
19.4115	9.44444	25.4855	8.65152	
7.62989	0.0444444	27.2862	18.3333	
13.6529	2.4	38.0399	9.83333	
6.12874	13.2222	24.8696	5.71212	
7.47586	16.7333	15.4565	13.0303	
6.5931	2.31111	22.9058	6.42424	
10.9885	3.66667	26.692	10.3485	
6.38391	10.6667	18.4094	8.18182	
10.0782	16.2667	36.9746	6.66667	
13.1862	6.64444	40.4529	7.18182	
10.7448	1.8	47.808	6.62121	
13.3747	3.53333	26.5543	9.09091	
7.83448	1.8	74.7246	7.25758	
12.1011	5.44444	24.1449	5.25758	
9.86207	14.8	39.7899	5.42424	
9.18851	19.5556	56.9022	8.57576	
16.9655	3.66667	26.1304	8.09091	
11.4805	1.37778	22.2065	6.06061	
11.6414	1.6	34.471	11.8788	
6.32184	8.28889	20.4674	6.33333	
13.1287	19.9556	22.6377	10.7424	
4.81379	3.84444	34.6413	11.5758	
11.5931	2.2	49.029	3.30303	
2.04138	1.86667	40.663	7.57576	
7.83908	3.64444	27.2355	11.2727	
12.7149	6.84444	58.1014	10.5758	
18.7586	2.64444	25.1558	9.81818	
12.3264	0.111111	35.9022	11.1667	
14.4322	2.97778	41.0942	12.6515	
16.9218	1.17778	29.087	2.77273	
12.4253	5.6	27.0616	13.2727	
2.84368	1.46667	21.9855	12.0303	
13.4391	3.44444	22.7174	10.9545	
8.72184	0.0666667	41.9167	5.69697	
6.30115	1.97778	57.2174	8.63636	
5.98621	6.15556	42.8768	14.3182	
8.42069	11.5111	36.6775	5.68182	
6.70805	4.71111	31.029	4.74242	
9.05287	2.4	16.6775	5.65152	
14.108	9.37778	45.4457	14	
3.77011	10.5778	20.0688	5.39394	
10.8828	1.95556	46.4094	2.89394	
5.93563	2.13333	34.5036	8.87879	
1.44598	0.288889	54.4891	7.84848	
13.2713	0.155556	19.9746	7.01515	
