Fs[0]	Fs[1]	Fs[2]	Fs[3]	
-0.679425	1.99886	-1.5468	-3.095	
-5.93566	-1.67067	0.985554	-1.65896	
1.12237	-1.43006	-3.17974	-1.68169	
-3.76143	-2.1008	-2.45189	-2.22086	
-3.875	-1.24939	-1.93056	-2.15251	
0.225018	1.48469	-4.18478	-3.02178	
0.152832	0.17139	-2.00818	-1.49681	
1.83315	2.17397	-5.66407	-2.93624	
-2.02103	1.77585	-4.39566	-3.59666	
-2.24458	-0.532999	-1.91416	-6.10038	
0.50418	1.90332	-0.433787	-3.61884	
-0.949995	3.2098	0.633244	-3.15988	
-6.76931	0.212564	-4.0062	-1.44947	
-2.58278	2.59691	-1.81296	0.323894	
-1.43852	-2.07522	-2.88805	-0.897574	
-3.00557	1.22509	-2.49259	-0.372492	
-5.19397	1.13745	-1.1816	-3.9669	
0.51324	2.98298	-1.72918	-2.00475	
-2.7272	-3.27093	-1.57998	-3.08438	
-1.24792	-0.779971	-0.840143	0.573638	
-0.641573	-0.397202	-0.583571	-5.7689	
-4.74843	-0.0649397	-0.717986	-5.2822	
0.87001	-1.24939	-2.20366	-3.58328	
0.947608	1.07152	-0.36941	-2.92581	
-1.40275	-5.89762	-0.732573	-3.65096	
-7.65609	2.36654	-0.441776	-1.93048	
0.888814	2.42972	-0.541102	-2.91741	
-1.96575	-0.915193	-2.74921	-2.32055	
-2.07473	0.560788	0.39009	-1.55809	
-2.32259	-0.92545	0.573234	-5.27139	
-3.36353	-0.644889	0.350236	-6.65206	
-0.717691	-0.72949	-3.34593	-2.44581	
-1.89238	2.5212	0.437533	-3.0633	
-3.53272	-2.8446	-0.0472899	-3.7636	
-1.91076	-0.564373	-0.25198	-4.95779	
-0.280119	4.03444	-0.179019	-2.57641	
0.373204	3.64162	-3.7117	-6.37365	
-0.0989051	0.876432	-0.0738279	-2.81095	
-5.56066	3.1441	-1.22661	-3.16537	
-6.46415	0.239605	-0.865667	-2.87796	
-5.10619	0.199785	-2.91048	-3.33731	
-0.834319	2.16549	-4.19813	-4.61909	
-1.31762	-3.26826	0.141453	-3.61884	
-2.45048	0.690592	-1.82288	-4.18896	
-2.97112	1.83743	-2.66692	-3.51756	
-0.455661	-1.55748	-1.76748	-4.16045	
-4.08287	0.129452	-2.5841	0.451122	
1.25495	0.570599	-0.807999	-2.08194	
0.372096	-0.580235	-2.58142	-0.039954	
-0.406772	-0.368142	-2.7755	-3.1326	
-6.1128	-2.17768	0.256618	-2.77988	
-1.89152	0.0759838	0.613103	-1.1523	
-1.718	-0.971216	-3.48286	-2.61395	
-4.21392	-0.367709	-1.30889	-3.14694	
-0.481521	1.90332	-4.77239	-3.20427	
2.31045	-0.94431	0.269649	-3.10567	
0.384187	-1.50712	-5.13295	-1.92528	
1.86341	7.86814	-2.01026	-0.450813	
-0.910837	-1.98461	-4.42819	-1.9701	
-1.6203	-0.00131015	0.673021	-2.88275	
-2.34095	-2.32694	-3.04528	-3.25148	
-2.00022	1.15889	-1.31205	-3.31357	
-3.41239	0.806707	-2.08562	-4.59884	
-1.3133	3.11057	0.656187	-2.51291	
-3.91047	0.194901	-1.01208	-1.75158	
-1.9983	-1.29478	-0.216789	-4.28545	
-0.234982	-1.95329	-2.00486	-1.26472	
-1.03357	3.0514	-2.83231	-6.27659	
-0.864777	0.705575	0.705618	-6.2292	
-5.92935	-1.95214	-3.14006	-2.61814	
-0.955419	1.48949	0.22414	-2.14599	
-0.328118	1.35689	-3.645	-2.32352	
-2.03094	0.750676	2.42913	-3.01153	
-2.23103	-0.661365	-0.90298	-5.70543	
-0.827373	0.292061	-0.610548	-3.12179	
-3.24224	0.588666	0.718757	-0.776583	
0.625985	0.560788	-2.8948	-4.15477	
0.396082	-0.125609	-2.43791	-2.98612	
-4.2097	0.529948	0.186337	-2.46481	
-1.76343	0.292061	-2.63419	-2.49235	
-1.83328	-1.38682	-0.880131	-1.30498	
-0.705323	1.65904	-0.66801	0.0826502	
-3.97165	0.705575	-2.00361	-1.62841	
1.07802	0.723	-3.0926	-5.1286	
-2.76339	0.74148	-5.70008	-5.21855	
-3.32657	0.270586	-2.73617	-3.77807	
-0.914244	-1.50808	-2.42489	-1.67712	
-3.32097	-4.35878	-2.0895	-3.5111	
-2.4206	2.09258	-3.33016	-4.44498	
-0.69605	-0.471592	-2.31635	-2.20966	
-2.98663	0.713715	-3.19669	-3.97133	
0.382177	3.7436	-1.84746	-0.872793	
-5.50882	0.849936	0.644735	-3.07379	
-1.3911	-2.28651	-1.31746	-4.1463	
-0.590567	0.339524	-2.99491	-2.09155	
-2.75112	-1.38932	-1.54076	-5.44378	
1.53321	-1.92951	0.369632	-2.01017	
-2.51294	1.29118	-0.520301	-5.08322	
-4.17996	-4.03212	-0.21461	-1.29055	
-1.66642	0.0400417	-2.02402	-2.6493	
-1.16909	0.390084	-3.1456	-2.81204	
-1.04414	-0.269339	-2.38429	-1.36252	
0.345339	-1.92244	-2.67859	-2.05958	
0.899076	0.656342	-2.56065	-2.89238	
-9.48863	0.611766	-0.569431	-5.53805	
-1.40611	1.61471	-1.63074	-5.24385	
1.39974	1.16381	-1.86414	-1.51535	
-3.35265	-0.50321	-4.8944	-1.21549	
-0.712889	-2.26755	-3.32965	-1.50699	
-7.85236	0.911395	-4.0588	-4.72271	
-3.36372	1.02981	-1.14903	0.230577	
-2.53312	-2.00043	-2.90411	-1.59294	
-3.0593	-1.06126	-5.3061	-1.78446	
-2.5906	-0.0838703	-0.472128	-1.64277	
-4.60012	6.04224	1.0312	-6.61988	
-6.88193	1.25345	1.73205	-2.81204	
-3.9175	-4.13604	-1.18601	-2.05403	
-1.94288	-1.98461	1.22099	-4.06312	
-1.36431	0.169289	-0.793005	-0.909089	
-7.83461	7.25003	-0.771692	-3.36095	
-3.12524	-0.527536	-1.71795	-0.226769	
-3.79132	-1.89204	0.102326	-5.725	
-0.343106	11.2803	-1.27037	-2.48529	
-3.50682	0.259172	-1.38547	-3.34328	
0.239689	0.511193	2.28176	-1.17879	
-0.371989	-1.67523	-0.729878	-6.57747	
0.239506	-1.43227	-2.08785	-3.18196	
-1.22673	1.95473	1.27036	-2.60977	
-2.68795	-2.8446	0.0580657	-2.03197	
-3.90882	-2.0127	-1.56751	-2.07633	
-2.2516	-4.3267	-0.358726	0.985404	
3.53581	0.0400417	-2.65514	-2.16233	
-9.19898	3.72959	-2.96447	-0.853184	
-4.5845	-1.76151	-2.44445	-0.524831	
-2.56478	0.0722853	-4.95467	-4.8766	
-7.38271	1.73531	0.941994	-4.34883	
-4.25002	2.50579	-1.5834	-3.71364	
-1.15836	2.14355	-1.68094	-3.2611	
-0.769602	1.41423	-1.53274	-0.549933	
-0.41408	0.480989	-2.10158	-1.47679	
-0.520653	-0.230024	1.90505	-5.10348	
0.215271	-2.97217	-1.13175	-1.17181	
-1.71279	1.33334	-2.38664	-5.29149	
-6.11367	1.24175	1.08573	-3.27265	
-1.29171	0.185198	-2.07308	-0.31903	
-1.00986	0.0722853	-0.193454	-0.541532	
-2.9492	3.22334	-1.50299	-1.06378	
-5.89676	3.14169	-1.70526	-4.31147	
-1.8052	0.629889	0.676541	-4.66386	
-3.80636	0.0400417	-0.63798	-4.35801	
0.123039	0.108441	-1.98173	-3.65309	
0.757324	2.15371	-0.607235	-2.16227	
-1.35132	-2.12673	-0.0115602	-4.44217	
-4.06984	-3.11607	-0.772952	-2.12744	
-4.41664	2.22589	-0.342232	-3.97969	
-2.95506	-2.13417	-1.9074	-3.05284	
-2.517	2.15371	-4.68117	-1.85893	
-0.159651	-3.46248	-4.18423	-1.78993	
-6.02237	2.79904	0.6379	-2.54089	
-3.57218	2.54339	-1.82785	-2.92641	
-4.24572	1.26607	2.74711	-3.69957	
-7.86205	1.29118	-5.02002	-1.95796	
0.558656	1.27759	-2.78917	-6.55648	
-5.48537	-1.86209	-4.41422	-4.03871	
-4.73928	0.599821	-2.45274	-1.16485	
-0.357329	4.31749	-0.400035	-1.8192	
-4.77755	0.469779	-2.2122	-0.0103034	
0.19166	2.00905	-3.16112	-5.08322	
0.836272	0.409143	0.775254	-1.83922	
-0.742943	-0.903566	-0.0295106	-1.05837	
-7.39495	-2.43481	-2.05186	-1.39863	
-3.30538	0.851486	-2.29255	-7.29009	
-1.67591	0.398716	-3.08527	-3.94021	
-2.44121	1.22807	-0.540799	-2.68644	
-6.38322	0.0157754	-0.760132	-3.97311	
-0.199319	-4.50734	-0.642577	-1.85392	
-3.82811	-1.07293	0.396237	-2.1217	
-5.73057	-2.32694	-3.0986	-1.97257	
1.6496	-0.876332	0.307129	-3.83687	
-0.716485	2.75435	-3.16451	-1.11687	
-0.464187	-0.587502	-3.6598	-5.91715	
-2.23783	-1.64458	1.02405	-4.16327	
-0.517295	0.876432	-2.37475	-1.54066	
-3.04816	-0.0649397	-2.36893	-1.96168	
-1.05282	3.56526	-1.57967	-5.76088	
-3.00522	-0.108414	-1.47777	-2.03005	
-4.83331	-0.735652	-1.49569	-3.60753	
-1.60802	-0.332367	-1.22921	-3.10095	
-0.423604	0.239605	-0.715139	-3.29594	
2.42579	3.85323	-0.324337	-5.7851	
-1.577	0.907989	-1.4445	-4.69538	
-4.81534	2.18976	0.405125	-0.600727	
-6.27604	3.07703	1.82024	-1.36065	
3.74491	0.634654	-2.37769	-3.59627	
-2.37005	0.829618	-2.95426	-1.19637	
-2.70068	-1.21512	-1.09988	-0.741575	
-4.20114	-1.14825	-2.39774	-3.81465	
-2.9592	-0.663593	-3.22085	-2.81204	
-0.536739	-0.161516	-1.16327	-0.631485	
-3.00226	-0.353754	-1.89631	-2.17401	
-0.254581	0.851486	-1.15167	-2.94612	
-0.136126	1.10226	-2.0243	-3.85931	
-4.25112	1.94116	-4.1377	-7.00494	
-0.442662	-0.92405	-1.50161	-3.14347	
-0.270931	-0.295521	-1.49196	-2.10104	
