FDn[0]	FDn[1]	FDn[2]	FDn[3]	
-1.48228	1.28596	-0.830674	0.771101	
1.133	1.17332	0.231118	0.529684	
-0.552243	0.879453	1.00415	0.53275	
0.92879	1.0426	-0.105612	-0.11758	
0.263517	-1.51135	0.49938	-0.270879	
-0.169308	1.10746	-0.222931	-0.0599252	
1.09368	0.478914	-0.520024	0.283933	
-0.815827	0.303926	-0.354811	0.827544	
0.839099	0.701728	-0.299784	0.303069	
-0.684648	-1.87772	0.233872	0.869132	
1.11119	-1.78608	-0.199113	0.0582567	
0.731716	-0.33833	-0.056682	-0.139178	
0.683542	-0.0048056	0.139382	0.530882	
-0.117282	0.774915	0.493079	0.120316	
0.00176693	-2.24967	-0.504746	-0.207045	
0.593346	0.0311011	-0.383466	0.646958	
-0.489139	-1.25376	0.226484	0.419226	
-0.0778101	0.0638193	0.476091	-0.77635	
0.207418	-0.231567	0.321213	-0.207045	
0.261934	-0.802285	-0.248876	0.529684	
-0.0384176	-2.29291	-0.174151	-0.908251	
0.0217741	-0.672643	-0.00548208	0.993232	
-1.73271	-0.59482	-0.373937	0.22457	
-1.1529	0.540395	-0.372897	0.123398	
-0.142999	0.0152291	0.165894	-0.13053	
0.449686	0.155854	0.251104	0.383019	
-0.361553	-1.93522	0.511105	-1.02506	
-0.216763	-1.31617	-0.218913	-0.70554	
0.418772	0.454467	-0.305584	0.122576	
0.480935	0.962186	0.246553	0.528856	
-0.216763	1.30011	0.69218	0.180181	
-0.551886	1.51062	0.206695	-0.280089	
0.847537	-0.421665	-0.482855	-0.257437	
0.357627	1.28596	-0.109603	0.0889076	
0.756702	0.512949	0.127306	1.14673	
-0.361553	-1.03681	-0.431547	-0.859489	
0.862898	0.511742	-0.323368	0.723951	
1.15819	0.0311011	0.0880792	0.484566	
-0.372505	0.376717	0.469829	-0.207045	
-0.281018	1.55671	0.11327	0.0351152	
0.273961	0.774915	0.697699	-0.207045	
0.557834	1.52932	0.558039	-0.0599252	
0.687555	-1.46816	0.259203	0.869132	
0.557834	0.686445	0.242762	-0.296405	
0.174628	-0.628755	0.10208	0.125158	
0.173825	0.572779	-1.17022	0.493715	
0.73818	-0.0743746	-0.632614	0.00542973	
-1.21534	0.217142	0.132766	0.303069	
0.391322	1.23914	0.0292756	1.04849	
-0.0492385	-0.544197	0.0817903	0.77323	
-1.09957	0.688968	-0.00151618	0.0283704	
-0.617896	1.13519	-0.896804	-0.868327	
-0.0492385	-1.0008	-0.22545	-0.495532	
-1.23475	-0.417559	0.0811903	-0.495532	
-0.630526	0.0311011	0.241241	0.692268	
-0.112811	1.32479	0.537127	0.262936	
0.965547	0.879453	0.59243	0.262936	
-0.0802537	-0.904279	-0.412218	-0.583375	
0.0762125	-1.51135	0.627976	-0.768086	
-1.56862	0.540395	1.25399	-0.349624	
-0.142999	0.618439	0.793332	0.186331	
-0.830724	-1.73091	-0.488435	0.332504	
0.214502	0.540395	-0.424893	1.02906	
0.269636	-1.55993	-0.00620156	0.22457	
0.184164	0.488155	-0.435854	0.571572	
0.0762125	1.23914	-0.119537	0.216329	
0.743743	0.623123	0.723136	-0.270879	
0.512736	-0.35842	-0.0266813	-0.797109	
-0.0138597	0.449894	-0.471189	-0.139178	
-0.444828	-1.78608	-0.26599	0.0582567	
-0.196181	0.411721	-0.0627085	0.736164	
-0.407862	0.109164	-0.52882	-0.77635	
0.795618	0.32477	0.272839	0.528856	
-0.0621449	0.962078	-0.598608	-0.604416	
-0.47852	1.13785	-0.0574717	-0.518824	
-0.552632	-0.938776	-1.30485	-0.213702	
0.491871	-0.834439	0.146424	-0.686148	
-0.886863	1.38219	-0.608314	-0.161843	
-0.134459	0.238435	-0.386469	1.22869	
-0.500498	-1.45575	0.0879737	-0.615829	
-0.552243	-1.03681	0.744018	0.240144	
-0.0676963	0.203685	-0.60495	0.484566	
0.418772	0.912108	-0.433173	-1.04308	
-0.437627	0.233676	-0.351207	-0.693575	
0.328605	-1.78443	0.195505	0.666063	
0.909425	0.774915	0.39028	-0.11758	
0.279073	0.224955	0.395497	0.740062	
-0.910472	-0.685995	0.401011	-1.53527	
1.133	0.203685	0.618352	0.0661011	
0.856035	-1.03681	-0.248876	0.591263	
1.04028	-1.51001	-0.281294	0.457081	
-1.05302	0.555881	-0.35322	-0.0239806	
-0.358964	1.18331	-0.810399	0.22457	
-1.99445	0.0638193	-0.33799	0.175277	
-0.326937	0.565837	-0.375004	-0.365414	
-0.802604	0.577897	0.334217	-0.11758	
0.828008	0.230067	-0.0693681	-0.60786	
0.0753526	0.889017	0.772027	-0.846142	
0.219804	-0.405927	-1.18053	-1.01607	
1.02009	-0.203218	0.283469	-0.885675	
0.0078647	0.790625	0.400398	-0.344073	
0.780725	-1.66769	-0.421481	-0.992576	
0.115609	-1.51902	0.084329	0.776395	
-0.0950674	0.746243	1.04338	0.646958	
0.72957	-0.262568	0.246553	0.0482692	
-0.890641	-0.000385305	0.0850918	-0.319316	
0.219804	0.539341	-0.0788061	0.194273	
-1.89508	-0.39729	-0.026693	-0.139178	
-0.699415	-0.904279	0.00345499	-0.528078	
1.01617	-1.28357	-0.536889	-0.139178	
-1.66551	-2.39768	0.0237146	-0.19975	
-1.01904	-2.22572	-0.539114	-1.14472	
-0.112811	-0.628755	-0.225062	-0.150013	
-1.57869	-1.01238	0.334217	0.204929	
