H[0]	H[1]	H[2]	H[3]	
-4.51494	2.84444	3.28261	-2.57576	
-1.50805	2.04444	-13.3841	3.39394	
1.29655	1.24444	3.23188	1.27273	
2.77701	0.711111	-7.02899	-4.33333	
3.42069	1.6	15.413	-0.757576	
0.496552	-0.266667	-0.478261	4.54545	
0.726437	1.51111	3.76812	1.24242	
-4.25747	1.06667	-7.65942	0.878788	
3.91724	1.95556	2.1087	-0.69697	
0.377011	-7.37778	2.02899	2.09091	
2.0046	0.8	-13.5435	-0.575758	
-2.56552	2.48889	4.10145	-2.36364	
2.90575	-1.24444	2.28261	-6.0303	
0.689655	2.75556	0.934783	-6.18182	
4.84598	1.33333	3.9058	-2.72727	
1.6	1.86667	-6.45652	1.24242	
-10.0966	-4.97778	5.66667	1.24242	
-2.4	-2.31111	6.19565	-0.757576	
-1.01149	2.57778	-1.91304	-4	
2.25287	0.355556	-1.81884	-2.48485	
1.10345	5.6	-0.152174	-1.30303	
1.91264	0.355556	-14.6739	1.27273	
2.85977	-3.55556	-21.6377	-1.66667	
0.91954	1.33333	0.710145	2.81818	
0.956322	2.22222	0.26087	-2.72727	
-5.14943	0.0888889	16.6304	2.57576	
-1.32414	1.42222	-3.36232	0.545455	
-0.772414	-5.51111	-15.5145	-1.45455	
6.37241	-13.6	4.36232	2	
0.735632	1.6	10.058	1.60606	
-5.90345	0.0888889	2.23913	-1.12121	
-0.45977	1.06667	-23.058	2.60606	
0.165517	1.42222	15.8043	2.48485	
-1.96782	1.77778	0.427536	2.84848	
-0.0551724	2.04444	4.53623	2.21212	
6.02299	-8	-17.5725	1.78788	
0.643678	3.73333	0.347826	3.15152	
8.78161	0.622222	-6.13768	1.48485	
4.15632	1.33333	-19.0942	0.515152	
0.965517	1.33333	-28.7826	4.15152	
1.91264	2.57778	-1.47101	2.39394	
1.93103	0.533333	-2.92754	3.60606	
0.56092	0	4.52899	-3.63636	
0.652874	-1.6	2.5	0.848485	
-9.95862	3.73333	4.52174	-0.515152	
1.61839	-1.24444	-2.11594	-0.0606061	
-5.28736	-0.355556	9.61594	-4.21212	
-1.09425	1.06667	-8.87681	-4.45455	
-0.137931	0.977778	16.1739	-5.87879	
3.86207	3.55556	15.6159	1.45455	
2.4	-4.97778	1.72464	2.39394	
2.24368	1.6	-5.18841	1.51515	
5.50805	1.51111	-6.41304	2.93939	
2.77701	2.57778	-12.6667	1.30303	
0.901149	-1.42222	-14.6014	3	
4.27586	0.533333	-2.2029	3.81818	
2.92414	0.8	3.21739	3.24242	
-0.772414	-0.711111	-14.6087	-2.27273	
1.62759	0.355556	3.18841	-0.424242	
2.92414	0.177778	3.47826	-2.15152	
1.37011	1.24444	-4.76087	-1.69697	
-5.25977	3.02222	0.746377	1.57576	
3.42989	1.24444	-11.913	0.424242	
4.09195	-1.95556	0.731884	2	
-0.275862	-0.533333	-7.5	0.666667	
-1.66437	0.622222	-3.60145	-2.90909	
0.754023	-4.35556	4.52174	1.33333	
1.53563	1.15556	11.3478	0.242424	
-11.3655	0.355556	-7.11594	1.06061	
1.98621	-11.8222	-13.2754	4.72727	
1.63678	0.8	6.50725	2.9697	
-4.42299	-13.2444	-4.82609	3	
4.08276	-0.444444	-4.47101	1.24242	
0.542529	0.977778	0.702899	3.69697	
2.33563	0.444444	17.1739	-6.09091	
2.54713	2.48889	-10.7754	-0.757576	
4.0092	1.51111	8.78261	-1.39394	
2.68506	-4.97778	-1.57971	0.515152	
3.53103	2.31111	-0.57971	-0.878788	
-2.17011	0.266667	-2.15217	-6.21212	
4.69885	1.33333	-24.4928	3.33333	
2.56552	0.711111	-11.0217	3.66667	
-1.06667	2.66667	-2.14493	3.06061	
-2.58391	1.15556	8.86232	-2.33333	
4	1.15556	-3.12319	0.636364	
2.12414	1.24444	6.93478	-0.212121	
2.66667	2.48889	-8.98551	-2.90909	
-3.30115	-1.95556	2.8913	0.0606061	
2.94253	-4.8	4.25362	-0.484848	
3.86207	-1.24444	5.7029	2.09091	
-5.0023	-2.93333	-21.2609	-2.9697	
-3.7977	2.4	-4.84058	0.545455	
-0.597701	0.533333	2.97101	-0.181818	
1.68276	1.42222	-29.8261	-0.818182	
0.413793	1.95556	11.6739	4.63636	
-0.0183908	1.06667	-0.253623	1.63636	
9.69195	0.888889	-0.101449	-2.09091	
-0.23908	-4.8	5.92029	-1.24242	
3.06207	1.15556	1.76812	1.24242	
2.57471	1.15556	1.47101	1.87879	
-3.65057	-0.177778	-10.0797	1.87879	
-4.54253	1.06667	-3.14493	-3.12121	
-2.86897	-2.13333	-0.0362319	0.121212	
4.02759	2.4	2.51449	-2.63636	
3.66897	-0.888889	4.53623	-0.515152	
2.75862	-3.82222	4.44928	-2.90909	
0.671264	0.533333	-9.1087	3.48485	
1.48966	2.66667	14.0652	-4.63636	
0.183908	0.8	12.3333	-1.15152	
1.28736	2.31111	6.78261	-4.42424	
-4.71724	-15.9111	6.06522	1.30303	
-3.8069	3.37778	5.7971	-5.60606	
0.689655	0.177778	0.0507246	1.54545	
1.45287	1.51111	-1.52174	1.27273	
3.52184	2.13333	6.05072	1.69697	
-4.68046	1.6	5.28986	-4.36364	
2.37241	-2.84444	3.49275	-3.42424	
4.08276	1.6	-6.22464	1.60606	
1.29655	-12.6222	-5.23188	3.15152	
-1.13103	-9.95556	-14.1159	-5.09091	
2.16092	1.51111	-1.67391	-1.30303	
3.26437	-5.24444	2.94203	0.636364	
1.82069	0.0888889	1.84058	4.15152	
2.17931	-0.888889	-4.04348	-1.57576	
-1.10345	1.15556	-7.23913	3.87879	
-2.30805	2.75556	0.202899	-6.9697	
0.422989	-1.6	6.57971	-1.15152	
-1.36092	0.622222	-4.36232	2.21212	
-5.33333	-4.44089e-16	-0.695652	-0.272727	
2.91494	-1.42222	4.46377	-1.54545	
-4.18391	2.93333	2.10145	4.27273	
-3.06207	1.68889	6.08696	1.75758	
-2.62989	0.355556	3.93478	-0.212121	
-3.91724	-1.42222	1.73913	-3	
0.312644	1.77778	-3.96377	0.424242	
4.44138	-2.57778	-3.93478	-2.39394	
3.02529	1.42222	3.27536	-2.06061	
