TD[0]	TD[1]	TD[2]	TD[3]	
-0.25913	-1.15097	-0.345576	0.492726	
-1.50966	-0.00864111	0.860094	-0.638348	
0.0684494	0.307721	0.898932	-0.172983	
0.382086	-0.532849	-0.783715	0.632933	
-0.574136	-1.89817	-0.219637	-0.587717	
1.21722	-0.738282	0.019377	0.263206	
-0.619159	-0.341395	0.0390801	-0.034017	
-0.67418	-0.0445398	-0.318038	-0.285816	
-0.00111868	0.25561	0.230474	-0.0059038	
0.26403	0.594674	0.186399	0.52578	
-0.127664	-1.6372	0.389728	-1.18684	
-0.194116	-1.28896	0.124172	-0.656056	
0.358856	0.330882	-0.233569	0.0448119	
1.03206	1.49036	-0.424668	0.745446	
-0.0105763	0.275561	0.0714787	0.135525	
-0.658794	1.89832	-0.430171	-0.239478	
0.516594	-0.217243	-0.45588	-0.189614	
-0.326281	1.22755	0.0333522	0.289682	
-0.149866	0.940654	-0.1429	0.547745	
-0.689832	-0.87272	-0.126521	-0.663439	
0.833733	0.337495	-0.0338535	0.452202	
-0.217627	-0.435465	-0.080999	0.520923	
-0.512644	0.405194	-0.245073	0.203982	
-0.563794	2.15528	0.103411	-0.52017	
0.356882	0.71776	1.09914	-0.356868	
0.702292	1.73684	0.426273	-0.275603	
-0.100522	-1.21447	0.282467	0.819444	
0.412855	0.890588	-0.212822	-0.072859	
-0.685755	-1.0403	-0.0861638	-0.284828	
-0.111612	0.264242	-0.89271	0.681582	
-0.137396	-0.0415545	-0.848761	0.0213657	
-0.124948	0.117398	0.310567	0.487028	
0.566983	0.565548	0.215048	1.0171	
-0.126928	-0.957539	-0.60997	0.734832	
-1.09356	-0.0165254	-0.647094	0.109661	
-0.212199	1.11264	-0.771278	-0.386346	
0.340936	-0.769601	0.798011	-0.105236	
-1.33358	-0.118403	-0.362261	-0.3357	
0.153753	0.246697	-0.371708	0.209988	
-0.0998901	2.00031	-0.277825	0.129595	
0.690156	0.443234	0.458462	0.0492021	
-0.347476	-1.10059	-0.67972	-0.465283	
-0.639982	-1.45393	-0.0233525	-0.732191	
-0.398011	1.06759	0.513151	-0.122426	
-0.660727	0.246697	0.496953	0.369478	
-1.10307	-1.49172	0.0605811	-0.0875109	
-0.116013	1.23322	-0.753155	0.961555	
-0.748976	-1.60453	0.105356	0.334457	
0.338862	-0.262592	-0.589322	0.618938	
0.76812	0.505207	0.0952998	0.223468	
-0.566259	0.362087	0.70098	-0.716928	
0.755813	-0.0387789	-0.0998588	-0.733832	
0.448399	0.102992	-0.108474	-0.336592	
0.260458	-1.43337	0.0870616	-0.102915	
