FD[0]	FD[1]	FD[2]	FD[3]	
0.736001	0.206397	-0.912719	-0.337189	
-0.184003	0.490891	0.0946414	0.267288	
-2.32944	-0.108342	-0.0228276	0.657484	
-0.0486189	0.38001	0.550588	-0.176842	
-0.879142	-0.525108	0.484841	-0.675679	
0.0696589	0.38001	0.266203	0.716669	
0.242132	0.894339	-0.59208	-0.10362	
1.21655	0.738805	-0.995503	-0.0789582	
0.639632	0.103336	-0.754158	-0.277865	
0.163815	-2.62967	0.361915	0.403148	
-0.918722	1.353	0.62243	-0.0121408	
-0.899285	-1.22838	0.547619	0.108682	
-0.850339	-0.0477638	-0.0905001	-0.232432	
1.06703	-0.595331	0.538226	-0.616816	
-0.448711	0.372325	-0.204011	0.28841	
0.0738985	0.948185	-1.1894	0.119949	
0.546535	0.591552	-0.373646	-0.523498	
-0.0702233	0.0908188	-0.0953003	0.15015	
0.223441	-1.19021	-1.10103	-0.645618	
1.3554	0.432619	-0.0171417	-0.247211	
0.460384	0.0908188	0.356389	0.370579	
0.639632	0.0964736	-0.193029	0.716669	
-0.548669	-0.721526	0.0420451	0.834902	
-1.17799	1.09228	-1.34644	0.799554	
0.369706	-0.0535022	-1.02126	-0.325174	
-0.186038	-2.41284	0.394404	-0.0123663	
-0.329289	-0.302459	-1.03779	-0.653014	
0.738029	-1.02115	0.305249	0.65532	
-0.91296	0.246719	0.379562	0.171077	
-0.543237	0.372325	-0.0587383	0.35251	
0.355041	1.14179	0.103245	-0.716902	
-0.331259	0.673081	-0.456697	-0.0121408	
1.40552	-0.296281	-0.713706	0.229603	
-1.07319	-0.475537	0.996302	-1.05927	
-0.792894	0.45306	0.907436	1.26987	
0.0185771	0.89293	-0.593269	-0.860003	
0.832156	-0.737818	0.842254	0.903936	
-0.548669	1.71785	-0.4358	-0.312127	
1.30017	0.246719	-0.855696	-0.277865	
-0.468644	0.278391	-1.84521	-0.116736	
0.434357	-0.525108	-0.00274706	-0.10362	
-0.426055	0.246243	0.150312	-0.437956	
0.726839	1.54954	0.00380765	-0.0935196	
-0.585659	-0.0943101	0.107349	0.373315	
0.223441	1.03726	-0.326893	-0.476772	
0.182774	0.453642	-0.426124	0.888947	
0.330493	1.00159	0.453896	-0.224414	
0.754547	0.894339	-0.367409	0.749043	
-0.793925	1.28033	0.365493	0.876503	
0.369706	-1.91211	-0.934977	0.571512	
-2.32022	-0.525108	0.685791	0.260967	
-1.52613	-2.91358	-0.565847	0.119949	
0.603362	-0.721526	0.480412	0.199312	
1.01829	-0.302459	-0.0305512	0.876503	
-0.730979	-1.42659	0.286746	-0.523498	
0.019719	-1.01184	0.26701	0.267288	
0.345119	0.764818	0.488779	-0.84346	
-1.03873	0.081969	0.422692	0.516404	
-0.361395	-1.19021	0.0480788	0.588678	
0.900506	1.09228	-0.416457	-0.544608	
-1.51556	-2.28612	0.519483	0.51486	
-2.47514	-1.18144	-1.76725	1.08168	
0.337953	0.453642	-0.205061	0.771646	
-0.143748	0.246719	0.952224	0.23719	
-0.400064	0.707999	-1.01259	0.325368	
0.546535	0.081969	-1.22238	-0.0123663	
0.646477	-0.7238	-0.550288	-1.55726	
0.666711	-0.532669	0.232018	0.35251	
-0.648784	-1.49926	0.0055929	0.517762	
0.355041	0.957954	0.704022	-0.398724	
-0.579042	-0.721526	-0.454349	-0.237069	
0.47178	0.287307	0.663597	0.180306	
-0.250891	0.246719	0.0522698	0.15015	
1.03981	0.246719	-0.0414912	-0.0128341	
-0.383337	-0.898933	-0.508753	-0.325174	
-0.92771	1.42922	-0.476521	-0.716902	
0.351763	-0.89438	-0.323274	-0.37715	
0.964911	-1.00257	0.934648	0.133508	
-0.265758	-0.293086	1.31273	-0.927712	
0.136051	1.15061	0.193501	0.180306	
0.618215	1.03726	-0.662978	0.25136	
0.434357	0.0299978	-0.463115	-0.247211	
-1.87385	0.798888	-0.0413357	-1.4499	
0.808338	-0.409914	-0.434331	-0.473051	
-0.548669	-0.642262	-0.978798	-0.149391	
0.019719	0.894339	-0.316617	-1.40853	
-0.450006	-0.621178	-0.485172	0.325368	
0.117945	0.894339	-2.90044	-0.0121408	
-1.63411	-1.05256	0.182456	-0.429035	
-0.850339	-0.0477638	0.131402	-0.675679	
0.0194028	-1.89108	-0.152075	0.119949	
-0.0323949	0.432619	0.668284	0.35251	
1.30819	-0.409914	-0.405564	0.28976	
0.0853114	-0.143902	0.164672	1.25262	
1.55579	-1.49248	0.576315	-0.398724	
0.512614	-0.898933	0.177818	-0.0125507	
-0.468644	-1.36729	-1.21473	-0.437956	
-0.502114	-1.36729	1.13909	0.834902	
0.175763	0.333748	0.496316	-0.390172	
-0.217988	-0.89438	0.286746	0.12932	
0.474498	-0.59594	-0.213037	0.072176	
0.148393	-2.13977	-0.393979	0.072389	
0.756227	0.673081	-0.282505	0.28976	
0.756227	-1.7768	-1.22716	0.519959	
0.187405	0.0964736	-0.239844	-0.620169	
0.712648	-0.42308	-0.842456	-0.10362	
-0.636155	0.894339	-0.0953003	0.513193	
-0.0778415	0.453642	-0.359124	0.28976	
0.899166	-1.19343	0.387448	-0.0121408	
0.0696589	-1.73817	0.716369	-0.512629	
-0.800932	-1.27385	0.205227	-1.19378	
-0.664046	-0.151282	-0.541847	-0.277865	
-0.424208	-0.621178	0.741638	-0.20323	
1.07067	1.6922	-0.626011	-1.33589	
0.148393	0.495406	-0.177783	-0.325174	
0.264761	-0.923937	-0.260821	-0.275641	
0.0199894	-0.751283	0.0300872	-0.437956	
0.586908	1.384	0.305249	0.217216	
0.542561	0.246719	0.365493	-0.247211	
-0.129815	-0.642262	-0.213037	0.072176	
-0.219442	-1.09112	-0.294957	0.995169	
1.1719	-1.16517	-0.0543599	-0.874585	
0.929523	-0.951177	-0.620578	1.18293	
-0.426055	-0.59594	-0.198884	1.28686	
0.0202235	-0.910647	-0.855514	-0.824528	
-0.879142	0.246719	0.518041	0.839722	
-1.49953	0.278391	-0.274765	0.0987753	
-0.258913	0.89293	-0.809634	-0.523498	
-0.207126	0.301818	-0.140728	0.35251	
-1.83738	1.34402	-0.289674	0.696197	
0.345119	1.36979	0.909743	-0.482057	
-0.110766	0.908777	0.564617	0.35251	
0.72722	-0.525108	0.135319	0.424645	
-2.19257	-0.302459	-0.373494	0.743049	
-0.292305	-0.675841	0.515721	-0.224414	
0.603362	-1.13712	0.207845	-0.325174	
-0.369925	-0.701392	0.809441	0.939765	
-0.51242	0.246719	0.196724	-0.573307	
0.242132	0.970196	-0.705843	0.28841	
-2.13439	0.551339	0.358934	-0.0935196	
1.22147	0.521135	0.240361	1.28686	
0.0206086	0.0657083	0.0854747	0.234952	
-0.543237	0.0657083	-1.06272	-0.563639	
-0.160526	-1.36729	-0.447554	0.692169	
1.44851	-2.22498	0.38292	-0.894845	
-2.30901	-0.527135	0.715243	0.799554	
0.603362	-0.951177	-0.101272	0.133508	
0.230234	-1.36729	0.334814	0.0910284	
-0.0778415	-0.891788	0.785171	-0.909546	
-0.730979	0.301818	0.0714619	0.743049	
-0.796689	-0.42308	-0.640499	0.325368	
0.405054	-1.16517	0.0134355	-1.39951	
-0.480872	0.0471069	0.409244	-0.700084	
1.35578	1.18223	0.490769	1.23129	
0.190359	0.659877	-0.36419	0.171077	
-1.02526	-0.475537	1.20742	0.881159	
0.291112	1.15256	-1.01559	0.325368	
-1.5134	0.38001	0.0631872	-0.340738	
0.32835	-0.179476	0.60256	-0.0789582	
-1.18167	0.98926	0.862909	-0.10362	
-0.472437	-1.73817	-0.642106	-0.0125507	
-0.493817	-0.891788	0.0230642	0.373315	
-1.40872	0.854033	-0.0171417	0.28841	
0.910319	1.28033	0.209455	-0.116736	
0.312962	-1.42659	-0.0598003	-0.325174	
0.395474	1.62358	-0.741443	-0.0935196	
-0.865028	0.372325	-0.453209	-0.0735307	
0.223441	1.29327	0.748783	-0.573307	
-0.548669	-1.41138	-0.02238	-1.07638	
0.0853114	1.18223	0.675401	-0.431701	
-0.793925	0.287307	0.0737956	-0.0650312	
0.76435	-0.151282	-1.15584	-0.746665	
-0.448311	-0.721526	-0.621805	-1.21293	
-0.51242	-0.642869	0.0480788	-0.523498	
-0.447593	0.59637	0.253812	0.781283	
-0.143748	0.453642	0.517101	0.671324	
0.834608	-1.07328	-1.41825	0.834902	
1.21717	-2.48032	0.794187	-0.304496	
0.910319	1.36393	1.00242	-0.277865	
-0.733479	-1.5984	-0.282445	0.108682	
1.24205	0.246719	-1.17061	-1.65628	
-1.80999	1.46535	-1.13939	0.837533	
1.29977	1.36039	0.254876	0.516404	
-0.714045	0.89293	1.17297	0.513193	
1.03981	1.15061	-0.225022	-0.0118585	
0.242132	-1.7768	0.533821	0.35251	
-0.273243	1.24283	-0.277305	0.222479	
1.21717	0.425665	-0.589143	0.513193	
-1.03222	0.194812	-0.23606	1.18922	
0.929523	0.721337	-0.477605	0.457324	
