FF[0]	FF[1]	FF[2]	FF[3]	
0.08422	-1.88957	0.936075	-0.454924	
-0.872268	-1.27895	0.228666	-1.18975	
-0.408074	-0.145774	-0.660127	-0.312515	
-0.511838	-0.554947	0.812891	-0.37773	
0.958311	2.00055	-0.852212	-1.52852	
-0.0670756	0.661662	-0.328425	-0.488983	
0.14476	-1.08133	-0.434455	-0.319122	
0.220933	-0.764234	-0.220005	-0.484647	
0.916625	1.26012	0.311461	0.161132	
0.230399	0.541034	0.417003	-0.26268	
-0.428268	-0.536811	-0.234113	0.0725057	
-0.114792	-0.953397	-0.310195	1.04147	
1.55836	-1.25259	-0.0873434	-1.01503	
0.626545	-1.2611	-0.626806	1.10367	
-0.292583	-0.559541	-0.131249	1.28186	
-0.226346	-1.0387	-1.04684	-0.735541	
-0.615927	0.604155	0.319312	0.855799	
-1.46129	0.374054	-0.275258	0.0994784	
-0.0231103	1.06945	-0.954965	-0.358638	
-0.370361	0.348984	0.00165281	0.398487	
-1.64885	1.73471	-0.504325	0.871434	
0.325935	1.17924	0.860366	-0.601722	
-0.121956	1.09679	0.43677	0.216321	
0.543993	-0.663271	0.403748	0.571696	
-2.31705	-0.490408	-0.338762	0.710149	
-0.155354	-0.721379	0.260019	-0.0908375	
0.774069	-1.37062	0.207918	-0.36248	
-0.66841	-0.552682	0.795851	0.669197	
-0.516626	0.279534	0.28439	-0.608163	
0.405362	1.12246	-0.802086	0.23106	
-2.07691	0.309997	0.413479	-0.136329	
0.907249	0.698229	0.291171	1.49239	
0.326071	0.129016	-0.136457	0.405857	
-0.203757	0.258032	-1.07351	-0.627147	
-0.366788	-1.67208	-0.556211	0.656701	
1.21208	-2.52914	0.510722	-0.964508	
-2.35511	-0.46146	0.810828	1.03635	
0.909827	-1.07877	0.0114773	0.156548	
0.321312	-1.66595	0.407995	0.0525782	
0.190177	-0.764545	0.950893	-0.998346	
-0.801557	0.0697967	0.329793	0.721936	
-1.17504	-0.410363	-0.921106	0.497652	
0.649832	-1.16275	-0.0638937	-1.59679	
-0.679256	-0.15626	0.384196	-0.72496	
1.68446	1.01939	0.54688	1.20051	
0.11761	0.521166	-0.510915	-0.0107368	
-1.40738	-0.37594	1.13853	0.909915	
0.682557	1.20415	-0.940858	0.332867	
-1.63095	0.651629	0.0451749	-0.405799	
0.375673	0	0.687308	-0.100728	
-1.24938	1.38865	0.973315	-0.0214736	
-0.713144	-1.97546	-0.887292	0.0275265	
-0.964734	-1.03728	0.106095	0.430946	
-1.14604	1.18189	0.120536	0.352464	
1.22171	1.65169	0.157237	-0.139753	
0.282459	-1.47312	-0.0386424	-0.272468	
0.483628	1.79021	-0.767788	-0.199737	
-0.672429	0.354969	-0.558566	-0.274239	
0.39881	1.61913	0.779079	-0.538409	
-0.914239	-1.59725	0.0391882	-1.23932	
0.0328216	1.60063	0.69928	-0.493247	
-0.960611	0.0950618	-0.0275553	-0.0505559	
0.512796	-0.182217	-1.16733	-0.793305	
-0.280361	-0.630532	-0.466087	-1.26495	
-0.70926	-0.634538	0.259454	-0.549342	
-0.55652	0.626828	-0.0554038	1.04955	
0.175198	0.515338	0.415282	0.783505	
1.36928	-1.19253	-1.48257	0.762484	
1.63277	-2.63179	0.84356	-0.327328	
1.38586	1.65615	1.04564	-0.309932	
-0.669326	-1.63212	-0.0918512	0.139484	
1.48464	0.486931	-1.27066	-1.78073	
-2.0064	1.5557	-1.14298	0.839267	
1.3973	1.19557	0.397485	0.645322	
-0.339801	1.22392	1.1484	0.538461	
1.00923	1.07797	-0.498813	-0.164483	
0.163349	-2.04238	0.405438	0.389948	
-0.0631585	1.50632	-0.310651	0.0549796	
1.33623	0.650984	-0.608927	0.665883	
-0.833516	0.221979	-0.192677	1.17096	
0.688753	0.482871	-0.259219	0.620048	
-0.0248221	-2.06406	0.39494	1.6119	
1.17692	-2.68661	0.0158949	0.304362	
0.731309	-0.479208	-0.313276	-0.394417	
0.881543	-0.109868	0.0481775	0.387751	
-0.240995	0.972536	0.515735	-0.0823541	
0.0362649	-2.02888	-0.620265	-0.280136	
0.767869	0	-0.31852	0.74353	
-0.620887	-1.92147	-0.00288432	0.493667	
-0.776397	-0.0858897	0.780237	-1.24385	
0.167358	-0.31746	0.751512	0	
0.358226	-0.0905575	-0.509848	0.671842	
-0.344689	-1.70782	-0.29229	-1.38304	
0.507477	-0.846991	-0.0741321	1.03371	
-1.51346	-0.911312	-0.431508	0.260859	
-1.27194	0.42035	-0.0953749	-0.115253	
-0.0258338	-0.0719931	0.190514	-0.0824313	
0.475368	0.203574	0.255362	0.467991	
-0.434845	-2.83208	0.605179	-1.69284	
-0.342256	-1.59849	0.0691519	-1.14815	
0.49073	0.461954	-0.381859	0.0055053	
0.855284	1.43556	0.0836906	0.715426	
-0.261978	1.29149	0.642519	0.103134	
-0.851236	2.15889	0.241192	-0.402377	
0.963774	-0.731006	-0.691261	-0.508445	
0.134039	1.69657	-0.118217	0.17917	
0.583476	0.697854	0.0317046	1.31767	
-0.668946	-0.902974	-0.447857	-1.06812	
1.11443	0.523235	-0.41346	0.96273	
0.929336	-0.27697	0.155578	0.781933	
-0.457649	0.91497	0.329802	0.570158	
-0.557103	2.34542	0.243358	-0.0123312	
0.357706	0.892601	1.1057	-0.0659142	
0.769399	2.14369	0.666256	-0.311551	
0.541417	-1.19642	0.306591	1.10327	
0.643225	0.897823	0.0704677	-0.506347	
-0.0791982	-1.14074	0.0394694	-0.116506	
0.0586033	0.572634	-1.34574	0.654864	
0.569342	-0.273371	-0.76825	-0.1326	
-1.24967	0.117589	0.193028	0.366531	
0.557722	1.29564	0.102303	1.55796	
-0.156972	-1.1061	-0.130104	0.982696	
-1.31536	0.612344	-0.363449	0.0827135	
-0.718417	1.501	-1.14112	-0.863376	
0.0476649	-1.48946	0.361557	-0.500987	
-1.34134	-0.68598	-0.00528674	-0.809815	
-0.568695	-0.0510209	0.126569	0.694314	
-0.202681	2.06515	0.334759	0.193263	
1.13834	0.926853	0.94056	0.164631	
-0.137073	-1.56795	-0.505544	-0.0778527	
-0.264042	-1.11714	0.537714	-1.09797	
