D_Dmin[0]	D_Dmin[1]	D_Dmin[2]	D_Dmin[3]	
-0.0384928	0.194465	0.0319484	0.0389293	
0.071958	0.465934	0.079669	-0.167492	
0.223408	-0.034776	-0.0181517	0.209394	
0.0202869	0.39215	-0.075695	0.358797	
0.204096	-1	-0.211459	0.112548	
-0.111616	-0.175847	-0.12895	0.0626909	
-0.179875	-1	0.00447652	0.0165166	
0.00317063	-0.100273	-0.144967	-0.136784	
0.34593	0.266857	-0.0720246	0.427888	
0.0412578	-0.746629	0.23162	-0.0539798	
-0.112962	-0.513001	-0.130293	-0.0550934	
0.164994	0.0907032	-0.209383	-0.156164	
-0.285777	-0.324343	0.322748	0.0833525	
-0.0152849	-0.38467	0.10324	0.171994	
0.224132	0.351314	-0.102905	-0.343981	
-0.376904	-0.873314	0.230735	0.258998	
-0.211322	-0.798337	-0.211488	0.352217	
-0.123142	0.122073	-0.13663	0.41078	
0.00645642	-0.724911	0.120139	0.0965468	
-0.308453	0.636055	-0.140634	0.0928997	
0.447685	-0.300213	-0.156133	-0.0941355	
0.417917	-0.591973	-0.329503	-0.366663	
0.122488	-0.118136	0.29565	-0.0894113	
-0.126129	-0.601845	0.070525	0.168994	
0.162177	0.745447	0.0932691	-0.0265795	
-0.183864	-0.638041	0.0814826	-0.131423	
-0.291349	-0.172665	0.213196	0.136169	
-0.332512	0.0134852	-0.141767	-0.00268123	
0.305256	0.201704	-0.168964	0.01334	
0.0912258	0.00234804	-0.0465424	0.0281983	
0.0220629	1.02697	-0.196124	-0.109489	
-0.0944303	-0.531582	0.135245	-0.105449	
-0.0119293	-0.523421	0.304889	-0.0646093	
-0.222444	-0.0523255	0.351852	-0.212358	
0.397013	0.737403	0.109604	0.0286936	
-0.086322	-0.0278815	-0.23943	-0.0173673	
0.0329697	-0.175363	-0.0968118	0.0709161	
-0.540666	0.455075	-0.0522417	-0.384864	
-0.0537397	-0.195647	-0.281041	-0.23864	
-0.261043	-0.0770045	-0.158956	0.0396605	
0.0544211	0.423705	-0.0302045	-0.41042	
0.0367919	-0.283702	0.0397217	0.214333	
-0.22833	0.327183	-0.630025	-0.0173673	
-0.327108	-0.73758	-0.046204	-0.51636	
0.0772133	-0.223433	0.131609	-0.209023	
-0.323798	-0.694346	0.174243	0.0514593	
0.0719377	-0.0830372	0.138979	0.119634	
0.260273	-0.034776	0.196758	0.344978	
-0.130704	-0.172665	-0.145914	0.173198	
0.428871	-0.8978	0.19672	-0.100277	
-0.135983	-0.409728	-0.190722	-0.170904	
-0.144005	-0.285131	-0.120062	-0.142116	
0.024616	-0.267033	0.285628	0.340884	
0.450194	-0.276082	-0.000344058	-0.0271936	
-0.0346849	-0.778566	0.0459079	-0.050268	
-0.0977774	-0.251951	-0.402302	0.281331	
0.233871	-0.903478	-0.0346251	-0.084662	
0.270457	-0.00260182	-0.172642	0.153365	
-0.216455	-0.658724	-0.284042	0.12289	
-0.025165	-0.0951025	-0.0128731	-0.260147	
0.293474	-0.212739	-0.254757	-0.0926001	
-0.0344599	-0.0951025	-0.022291	0.354733	
-0.416568	-0.0770045	-0.110468	-0.0382483	
-0.146951	-0.207949	0.20738	-0.00859381	
0.0250814	-0.601845	0.30648	-0.0193484	
-0.211939	-0.276082	0.0553799	-0.20859	
0.0929041	-0.0199264	-0.193154	-0.0914883	
-0.147442	-0.0169955	0.188301	-0.263025	
0.101813	0.79773	-0.294027	-0.466235	
-0.161743	0.351314	-0.155059	-0.257082	
-0.0551823	-0.462232	-0.189111	-0.105102	
0.171485	-0.155429	-0.202434	-0.133479	
0.371052	0.0727149	0.0583582	-0.0300115	
-0.158959	0.520228	0.106275	-0.0634282	
-0.275259	0.0496811	-0.0544939	0.01334	
0.047341	-0.00260182	-0.0639975	0.239038	
0.521136	-0.337043	-0.0368144	-0.326558	
-0.083037	-0.797303	-0.113835	0.113836	
0.0354449	-0.0589066	0.0210909	0.220614	
-0.200212	-0.388691	-0.307766	-0.0347236	
0.0646968	0.621576	-0.0739889	0.165216	
-0.245438	0.187226	-0.0484609	0.0190976	
0.145816	0.489203	-0.261778	0.112548	
-0.187155	0.124202	0.0925852	0.119634	
-0.180283	0.848775	-0.22871	0.334371	
0.047186	-0.0154715	0.118144	-0.236157	
-0.0305596	0.421024	-0.00689985	-0.107127	
-0.017267	-0.309494	0.243367	0.254045	
-0.516956	-0.348474	-0.0365176	0.0907223	
0.0694784	-0.20369	-0.118451	0.125933	
0.259423	-0.594606	0.0362867	-0.102555	
-0.331705	0.0979423	0.130172	-0.163008	
-0.0981924	0.100355	0.106437	-0.141951	
0.184642	0.414424	-0.202701	-0.0224852	
-0.343793	-0.239886	0.107144	-0.0707713	
-0.0562081	0.357346	0.0836201	0.480529	
0.25239	0.158269	-0.167568	0.276545	
0.183861	0.447836	-0.194493	-0.188177	
-0.208697	-0.701384	-0.167266	0.0785929	
0.0697672	-0.864869	0.171466	-0.257268	
-0.486698	0.0134852	0.20322	0.429374	
0.37663	-0.449822	0.0742664	0.0523146	
0.124826	-0.692335	0.118833	-0.0302967	
0.210769	0.0197802	0.272423	-0.265658	
-0.193039	-0.284599	0.224683	0.105462	
-0.47018	-0.0589066	-0.344003	0.277143	
0.275974	-0.2075	-0.0611091	-0.49333	
-0.276014	-0.271089	0.0508106	-0.153074	
0.532541	-0.0179895	0.131444	0.183038	
-0.0272594	-0.0756124	-0.184669	-0.203146	
-0.546937	0.0661338	0.154087	0.193578	
0.37856	0.399575	-0.115747	0.0677756	
-0.38761	0.500485	-0.00374044	-0.137637	
0.105575	0.303052	0.173401	-0.0406625	
-0.283118	1.31654	0.240259	0.0870374	
-0.297671	-0.746629	-0.315288	0.0474591	
-0.49648	-0.364211	0.0717083	0.136169	
-0.0287445	0.620198	0.110434	0.136169	
0.435253	0.742972	-0.006038	-0.0516872	
0.0319089	-0.420866	0.00682991	0.00739661	
0.146171	0.526809	-0.151507	-0.150877	
0.00371195	0.0496811	-0.167438	-0.257268	
0.189318	0.749469	0.155409	-0.0577254	
-0.422328	-0.581736	0.0463731	-0.385855	
-0.0304173	0.800353	0.137012	-0.160066	
-0.285367	-0.276082	-0.0702945	0.00606718	
-0.0727894	-0.0756124	-0.212005	-0.197998	
0.0734408	0.00314356	0.020648	-0.288615	
-0.262009	-0.103721	0.18154	-0.124843	
-0.180208	0.158269	-0.211131	0.455525	
0.245611	0.194465	0.00684473	0.256805	
0.605455	-0.379499	-0.300537	0.0576949	
0.590894	-0.689749	0.17915	-0.082325	
0.575856	0.85323	0.210761	-0.0883117	
-0.0810284	-0.362952	0.106537	0.0565221	
0.43374	0.433358	-0.287135	-0.451108	
-0.509757	0.402591	-0.202625	0.148644	
0.313112	0.0134852	0.161461	0.252857	
0.197042	0.758087	0.184267	0.127137	
0.164908	0.103975	-0.272668	-0.201611	
-0.0226528	-0.731116	-0.0121955	0.109005	
0.126201	0.608707	-0.0754694	-0.170904	
0.3314	0.395187	-0.118812	0.295124	
-0.0201251	0.0744468	-0.00531753	0.192466	
-0.0309433	-0.206838	0.095436	0.285867	
0.24599	-0.873314	0.19681	0.396373	
0.161561	-0.772483	-0.104856	-0.0427342	
0.0876984	-0.0227107	-0.19198	-0.111683	
0.247434	0.114395	-0.0114831	-0.0700084	
-0.0603533	0.544358	-0.0246314	-0.0919421	
0.0756215	-1	-0.234518	-0.158342	
0.222053	0.202818	-0.0228779	0.207454	
-0.0962203	-0.591973	-0.126503	0.226675	
-0.563846	-0.00461271	0.31163	-0.287828	
0.0252903	0.158269	0.32781	-0.0787819	
0.138363	-0.26643	-0.285518	0.286021	
-0.210422	-0.916471	-0.0800417	-0.263025	
0.439589	-0.357161	0.00703038	0.122735	
-0.226923	-0.17956	0.014221	-0.0152496	
-0.248021	-0.0227107	-0.115348	-0.127913	
-0.000413324	0.126095	0.0835605	-0.00268123	
0.099054	0.294536	0.067985	0.239457	
-0.0493109	-0.842054	0.141457	-0.543997	
-0.0715105	-0.623563	0.0452043	-0.301814	
0.132389	0.158269	-0.0850175	0.0201638	
0.37272	0.730164	-0.154598	0.334178	
-0.0038962	0.158269	0.0261037	0.0612433	
-0.245074	0.954579	-0.156136	-0.106698	
0.188328	-0.107168	-0.166728	-0.0847252	
-0.119877	0.610718	0.012147	0.12793	
-0.0548629	0.50213	-0.0519053	0.250225	
-0.266451	-0.444996	-0.0461457	-0.291226	
0.305932	0.165889	-0.0123191	0.199887	
-0.0791903	-0.220396	-0.0295805	0.235968	
-0.189708	0.220319	-0.0890893	0.0928997	
-0.210572	1.05593	0.0376799	-0.24135	
0.129639	0.399575	0.399111	-0.162529	
0.259479	0.864089	0.155421	-0.124843	
-0.036485	-0.593227	0.102475	0.376979	
0.152539	0.447836	-0.0773562	-0.032721	
-0.248899	-0.565649	-0.0313812	-0.126024	
-0.0416008	0.128106	-0.324639	0.304099	
-0.0521027	-0.0205815	-0.311814	0.00965508	
-0.0454262	0.0617464	0.11267	0.220614	
0.20805	0.339248	0.078382	0.453797	
-0.0467589	-0.478779	-0.221559	0.330648	
-0.413474	-0.00796418	-0.235934	0.049	
-0.0790923	0.546899	-0.281212	-0.174589	
