thetaWatt[0]	thetaWatt[1]	thetaWatt[2]	thetaWatt[3]	
9.84437	5.30229	35.6159	8.60962	
15.1452	3.18137	36.4192	8.27848	
7.32018	7.4232	35.6159	11.2587	
11.6113	6.00926	28.3856	9.93418	
6.81534	4.59531	40.1683	8.94076	
10.6016	5.65577	39.6327	10.5965	
12.1162	5.65577	32.6702	8.94076	
9.84437	4.9488	37.2226	8.27848	
3.53388	6.00926	41.2394	13.9078	
12.8734	2.12091	35.6159	7.28506	
7.5726	7.4232	38.2937	15.5635	
8.07743	6.36274	44.4529	8.27848	
8.07743	4.9488	31.599	12.2522	
16.4073	4.24183	31.599	10.5965	
7.82501	5.65577	26.7788	6.62279	
13.8831	4.24183	29.7245	5.62937	
10.6016	2.82789	31.8668	8.27848	
10.6016	6.00926	32.6702	6.95392	
10.3492	2.82789	32.4024	10.2653	
7.82501	2.12091	28.6534	7.28506	
10.6016	4.59531	28.1178	9.60304	
15.9024	6.71623	32.938	6.29165	
8.58227	4.24183	40.7038	11.2587	
7.5726	4.24183	34.2769	10.2653	
8.07743	2.4744	31.3312	6.95392	
11.1065	6.36274	28.3856	10.5965	
16.4073	7.77669	35.8836	11.2587	
12.1162	3.53486	33.4736	7.94734	
10.3492	2.82789	35.6159	7.28506	
10.8541	9.54412	35.3481	6.62279	
17.1645	6.71623	30.2601	9.60304	
10.8541	1.76743	28.1178	3.64253	
9.08711	2.12091	32.1346	9.2719	
12.1162	3.18137	31.0635	7.6162	
8.32985	3.53486	29.9923	12.2522	
8.58227	7.06972	30.2601	5.29823	
13.3783	2.4744	30.7957	8.60962	
6.3105	6.00926	34.8125	8.60962	
12.8734	4.59531	29.1889	10.9276	
13.1258	15.9069	35.3481	7.94734	
7.5726	9.54412	32.1346	8.60962	
13.6307	4.59531	39.3649	10.2653	
8.07743	4.24183	26.5111	8.27848	
6.05808	3.53486	46.5952	8.94076	
8.58227	3.53486	38.5615	10.2653	
7.5726	4.24183	32.938	11.5899	
9.59195	3.53486	35.0803	11.5899	
9.08711	4.59531	32.6702	5.96051	
10.8541	8.48366	40.4361	7.6162	
5.80566	5.65577	36.9548	9.2719	
14.1355	1.06046	35.3481	4.63595	
11.1065	1.06046	33.2058	5.29823	
8.32985	5.65577	36.687	7.94734	
12.621	5.30229	38.5615	5.29823	
5.30082	1.41394	36.687	10.2653	
8.58227	1.76743	44.9885	8.60962	
6.81534	5.65577	32.938	12.5833	
10.6016	8.13017	39.9005	11.5899	
11.1065	6.00926	36.1514	8.27848	
9.33953	5.65577	31.0635	7.28506	
12.3686	6.71623	37.2226	8.60962	
5.55324	10.2511	36.687	10.2653	
9.08711	8.13017	39.6327	6.29165	
8.83469	9.19063	32.6702	6.62279	
5.80566	3.88834	32.6702	7.6162	
11.6113	1.06046	31.599	7.28506	
7.32018	3.88834	39.0971	11.921	
6.05808	1.76743	53.0221	9.60304	
6.81534	0.706972	43.6495	6.62279	
8.07743	2.82789	30.2601	8.94076	
8.83469	8.13017	44.4529	9.93418	
6.3105	7.4232	33.7413	5.96051	
9.08711	9.19063	48.4697	5.62937	
10.6016	1.41394	45.7918	10.2653	
11.1065	7.77669	29.9923	7.6162	
9.84437	1.41394	25.7077	10.5965	
10.0968	4.24183	37.4904	11.5899	
7.82501	3.18137	42.5784	10.9276	
7.32018	8.13017	44.1851	5.62937	
10.8541	2.4744	37.2226	12.5833	
9.59195	4.59531	27.5822	5.62937	
4.79598	4.9488	27.3144	5.96051	
9.59195	7.4232	38.8293	8.60962	
7.32018	4.59531	31.599	13.2456	
9.33953	2.82789	41.5072	9.2719	
10.0968	4.9488	34.2769	8.94076	
7.82501	4.9488	35.6159	8.60962	
9.08711	1.76743	32.6702	9.60304	
11.8637	3.53486	41.775	10.5965	
10.0968	3.53486	32.1346	7.94734	
7.82501	5.65577	27.0466	10.5965	
17.1645	10.2511	37.2226	8.27848	
7.32018	2.4744	39.6327	5.62937	
11.8637	5.65577	19.013	5.96051	
9.08711	4.9488	38.026	8.60962	
10.6016	6.36274	43.6495	7.94734	
7.82501	7.77669	40.4361	5.62937	
8.58227	6.71623	28.9211	5.96051	
10.8541	8.13017	40.4361	7.94734	
13.3783	5.65577	34.0091	6.29165	
12.3686	4.9488	33.7413	7.6162	
11.3589	1.41394	33.4736	9.2719	
12.3686	11.665	32.1346	6.95392	
13.6307	2.12091	40.4361	6.95392	
11.6113	3.53486	36.1514	7.28506	
12.8734	4.59531	52.4865	9.2719	
9.08711	3.88834	26.2433	6.29165	
8.32985	2.82789	46.3274	8.60962	
9.84437	3.88834	31.3312	7.28506	
14.6404	5.30229	32.938	8.27848	
11.3589	9.19063	32.4024	9.93418	
15.65	8.83714	42.0428	5.29823	
11.3589	3.18137	35.0803	9.60304	
10.6016	4.24183	43.1139	9.93418	
9.84437	6.36274	44.1851	7.6162	
7.82501	6.00926	31.0635	7.28506	
5.55324	3.88834	40.9716	6.62279	
10.3492	8.83714	34.2769	6.29165	
10.0968	11.3115	34.5447	8.94076	
15.65	7.06972	34.2769	9.60304	
10.3492	1.76743	29.1889	8.27848	
8.83469	4.9488	40.9716	10.9276	
12.621	6.36274	27.3144	10.2653	
10.8541	5.65577	33.4736	13.5767	
11.6113	2.82789	39.0971	6.95392	
5.55324	4.24183	31.0635	16.2258	
11.1065	6.71623	35.0803	13.2456	
13.1258	4.59531	29.1889	7.94734	
9.59195	2.4744	37.2226	7.28506	
8.32985	7.06972	32.6702	5.62937	
13.6307	2.12091	39.9005	7.28506	
9.84437	5.65577	31.599	7.94734	
13.8831	7.4232	42.3106	6.29165	
9.84437	4.9488	37.4904	9.2719	
13.8831	2.4744	33.4736	12.9144	
8.58227	8.48366	36.4192	10.5965	
6.81534	6.00926	22.762	8.27848	
13.3783	3.18137	42.3106	7.94734	
11.1065	1.41394	32.1346	10.5965	
10.3492	5.30229	39.0971	8.94076	
7.06776	9.54412	31.599	10.2653	
8.58227	6.71623	31.599	8.27848	
10.3492	3.18137	40.1683	6.95392	
7.32018	5.65577	35.0803	6.95392	
7.06776	4.59531	27.5822	6.62279	
9.08711	10.6046	40.4361	6.62279	
8.58227	2.4744	31.0635	6.62279	
11.1065	5.65577	31.3312	5.29823	
10.0968	4.9488	34.8125	9.2719	
7.06776	4.24183	35.6159	13.5767	
9.84437	4.59531	41.775	7.28506	
5.80566	4.59531	31.0635	9.2719	
5.55324	4.24183	24.101	7.94734	
11.3589	8.13017	28.6534	9.60304	
7.5726	5.30229	38.026	8.60962	
10.0968	1.41394	32.4024	10.5965	
5.30082	3.18137	36.1514	8.60962	
4.29114	9.54412	50.0764	7.28506	
9.59195	3.88834	30.5279	9.2719	
