thetaL[0]	thetaL[1]	thetaL[2]	thetaL[3]	
8.44828	8.44444	33.8696	8.90909	
17.8621	3.88889	42.6957	8.54545	
7.10345	5.88889	35.913	13.3636	
13.8966	6.55556	32.8696	9.36364	
4.06897	3.55556	42.1739	9.45455	
8.31034	3.66667	39.4783	8.90909	
10.6897	3.66667	45.8696	9.45455	
12.5172	4	41.4348	8.27273	
2.41379	6.77778	36.087	11.9091	
10.8621	1.22222	32.5217	8.54545	
8.31034	6.55556	31.8696	18.1818	
8.31034	7.11111	42.8696	8.18182	
4.82759	2.77778	24.1304	13.8182	
17.2069	3.44444	30.087	11.9091	
6.86207	4.11111	25.7391	7.72727	
12.3448	5.88889	27.6522	6.27273	
11.3103	1.88889	28.4348	7.81818	
10.931	5.33333	33.087	8.81818	
9.62069	1.33333	38.7391	8.81818	
5.96552	1.55556	26.087	5.36364	
11.5517	3.44444	24	9.36364	
21.7586	5.11111	37.3913	5.90909	
9.41379	5	31.4348	9.72727	
9.37931	4.22222	25.7391	10.0909	
7.41379	1.88889	28.8261	6.45455	
9.96552	5.66667	26.9565	8.45455	
19.1034	9.44444	36.1739	12.5455	
7.31034	4.33333	31.6957	7.45455	
12.8966	2.22222	34.0435	6.72727	
10	7.88889	34.1739	8.63636	
22.4828	4.66667	24.7826	9.72727	
9.96552	1.55556	28.6087	5.09091	
8.41379	1.44444	30.4348	10.4545	
8.89655	1.66667	27.0435	6.54545	
7.24138	4.22222	27.3913	14.6364	
4.86207	8.22222	26.1304	5.72727	
17.1724	2.11111	29.3478	9.45455	
4.7931	6.77778	36.7391	7.27273	
9.89655	5.66667	29.3478	11.5455	
11.4483	23	36.3478	9	
6.55172	9.33333	27.9565	8.90909	
13.0345	5.66667	43.1304	10.8182	
4.44828	4	20.913	10.8182	
6.06897	3.44444	53	7.36364	
9.24138	2.22222	41.9565	11.9091	
4.34483	4.11111	36.6087	17.1818	
7.41379	2.66667	33.7391	8.45455	
9.03448	6	28.8696	6.45455	
10.5172	9.33333	40.7826	10.2727	
5.89655	6.44444	38.8261	10.7273	
15.6207	1.66667	33.1304	4.90909	
10.3793	1	24.1304	5	
5.41379	4.11111	29.087	6.81818	
16.2069	2.77778	40.6087	4.63636	
2.48276	1.11111	37.7826	12	
9.31034	1.33333	47.913	11.3636	
7.96552	5.55556	34.0435	13.2727	
12.7241	7	45.6087	11.8182	
10.1724	5.22222	41.1304	10.0909	
13.4828	6	23.7391	7.36364	
19.2759	4.55556	39.9565	7.54545	
2.7931	9.88889	35.5652	8.18182	
11.7931	8.55556	46.5652	7.90909	
8	12.8889	27.5652	7.36364	
5	2.88889	37.5652	9.36364	
13.5172	1.11111	26.1739	8.27273	
9.44828	4.11111	43.6957	13.5455	
4.62069	1.77778	58.2609	10.2727	
3.62069	1.11111	45	8.18182	
7.10345	1.77778	28.7826	7.63636	
7.2069	5.11111	45.6957	11.6364	
5.06897	8.88889	33.4348	5.81818	
10.1034	11	44.2609	5.09091	
14.5517	0.888889	43.8261	9.09091	
9.34483	9.33333	34.4348	8.81818	
9.7931	1	19.6957	9.45455	
12.4138	4.55556	44.5652	10.8182	
12.7586	1.44444	44.913	8.09091	
6.44828	11.2222	46.5217	4	
7.86207	2	33.1304	10.4545	
8.86207	3.33333	26.3913	4.81818	
6.37931	4.11111	25.7391	5.72727	
10	5.66667	42.0435	9.36364	
7.10345	3.88889	33.6957	14.5455	
10.3793	2.44444	40.087	9.81818	
