Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-13.0099	-2.27887	-3.54391	-4.41455	-2.77259	-2.27887	-3.54391	-4.41455	-2.77259	
-13.0099	-2.27887	-3.54391	-4.41455	-2.77259	-2.27887	-3.54391	-4.41455	-2.77259	
-12.4097	-1.64196	-3.54391	-4.60517	-2.61867	-1.64196	-3.54391	-4.60517	-2.61867	
-12.4097	-1.64196	-3.54391	-4.60517	-2.61867	-1.64196	-3.54391	-4.60517	-2.61867	
-13.7917	-1.55306	-4.41455	-5.05146	-2.77259	-1.55306	-4.41455	-5.05146	-2.77259	
-13.7917	-1.55306	-4.41455	-5.05146	-2.77259	-1.55306	-4.41455	-5.05146	-2.77259	
-13.7917	-1.55306	-4.41455	-5.05146	-2.77259	-1.55306	-4.41455	-5.05146	-2.77259	
-13.7917	-1.55306	-4.41455	-5.05146	-2.77259	-1.55306	-4.41455	-5.05146	-2.77259	
-12.9112	-1.88322	-4.08044	-4.60517	-2.34237	-1.88322	-4.08044	-4.60517	-2.34237	
-12.9112	-1.88322	-4.08044	-4.60517	-2.34237	-1.88322	-4.08044	-4.60517	-2.34237	
-13.609	-1.83258	-4.24053	-4.41455	-3.1213	-1.83258	-4.24053	-4.41455	-3.1213	
-12.9592	-1.9885	-4.41455	-4.08044	-2.47575	-1.9885	-4.41455	-4.08044	-2.47575	
-12.9592	-1.9885	-4.41455	-4.08044	-2.47575	-1.9885	-4.41455	-4.08044	-2.47575	
-10.8746	-1.4267	-3.66516	-3.79424	-1.9885	-1.4267	-3.66516	-3.79424	-1.9885	
-10.8746	-1.4267	-3.66516	-3.79424	-1.9885	-1.4267	-3.66516	-3.79424	-1.9885	
-10.8746	-1.4267	-3.66516	-3.79424	-1.9885	-1.4267	-3.66516	-3.79424	-1.9885	
-10.8746	-1.4267	-3.66516	-3.79424	-1.9885	-1.4267	-3.66516	-3.79424	-1.9885	
-10.8746	-1.4267	-3.66516	-3.79424	-1.9885	-1.4267	-3.66516	-3.79424	-1.9885	
-10.8746	-1.4267	-3.66516	-3.79424	-1.9885	-1.4267	-3.66516	-3.79424	-1.9885	
-10.8746	-1.4267	-3.66516	-3.79424	-1.9885	-1.4267	-3.66516	-3.79424	-1.9885	
-10.8746	-1.4267	-3.66516	-3.79424	-1.9885	-1.4267	-3.66516	-3.79424	-1.9885	
-11.3591	-1.68794	-3.32146	-4.41455	-1.93517	-1.68794	-3.32146	-4.41455	-1.93517	
-11.3591	-1.68794	-3.32146	-4.41455	-1.93517	-1.68794	-3.32146	-4.41455	-1.93517	
-11.3591	-1.68794	-3.32146	-4.41455	-1.93517	-1.68794	-3.32146	-4.41455	-1.93517	
-11.3591	-1.68794	-3.32146	-4.41455	-1.93517	-1.68794	-3.32146	-4.41455	-1.93517	
-11.3591	-1.68794	-3.32146	-4.41455	-1.93517	-1.68794	-3.32146	-4.41455	-1.93517	
-11.3591	-1.68794	-3.32146	-4.41455	-1.93517	-1.68794	-3.32146	-4.41455	-1.93517	
-11.3591	-1.68794	-3.32146	-4.41455	-1.93517	-1.68794	-3.32146	-4.41455	-1.93517	
-11.3591	-1.68794	-3.32146	-4.41455	-1.93517	-1.68794	-3.32146	-4.41455	-1.93517	
-15.5672	-2.09964	-4.60517	-5.31852	-3.54391	-2.09964	-4.60517	-5.31852	-3.54391	
-15.5672	-2.09964	-4.60517	-5.31852	-3.54391	-2.09964	-4.60517	-5.31852	-3.54391	
-15.5672	-2.09964	-4.60517	-5.31852	-3.54391	-2.09964	-4.60517	-5.31852	-3.54391	
-13.2969	-1.83258	-4.24053	-4.60517	-2.61867	-1.83258	-4.24053	-4.60517	-2.61867	
-13.2969	-1.83258	-4.24053	-4.60517	-2.61867	-1.83258	-4.24053	-4.60517	-2.61867	
-13.2969	-1.83258	-4.24053	-4.60517	-2.61867	-1.83258	-4.24053	-4.60517	-2.61867	
-13.2969	-1.83258	-4.24053	-4.60517	-2.61867	-1.83258	-4.24053	-4.60517	-2.61867	
-14.1037	-1.9885	-3.79424	-5.62682	-2.69415	-1.9885	-3.79424	-5.62682	-2.69415	
-14.1037	-1.9885	-3.79424	-5.62682	-2.69415	-1.9885	-3.79424	-5.62682	-2.69415	
-14.1037	-1.9885	-3.79424	-5.62682	-2.69415	-1.9885	-3.79424	-5.62682	-2.69415	
-14.1037	-1.9885	-3.79424	-5.62682	-2.69415	-1.9885	-3.79424	-5.62682	-2.69415	
-14.2271	-1.9885	-4.41455	-5.05146	-2.77259	-1.9885	-4.41455	-5.05146	-2.77259	
-15.6682	-1.59702	-5.99146	-4.41455	-3.66516	-1.59702	-5.99146	-4.41455	-3.66516	
