Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-20.8889	-2.09964	-5.31852	-4.24053	-9.23024	-2.09964	-5.31852	-4.24053	-9.23024
-26.8668	-1.9885	-7.82405	-7.82405	-9.23024	-1.9885	-7.82405	-7.82405	-9.23024
-22.3728	-2.77259	-5.05146	-5.31852	-9.23024	-2.77259	-5.05146	-5.31852	-9.23024
-20.1332	-2.40795	-4.08044	-4.41455	-9.23024	-2.40795	-4.08044	-4.41455	-9.23024
-23.7591	-2.77259	-6.43775	-5.31852	-9.23024	-2.77259	-6.43775	-5.31852	-9.23024
-20.7194	-1.83258	-4.60517	-5.05146	-9.23024	-1.83258	-4.60517	-5.05146	-9.23024
-24.5815	-2.47575	-5.05146	-7.82405	-9.23024	-2.47575	-5.05146	-7.82405	-9.23024
-23.0478	-1.9885	-4.81589	-7.01312	-9.23024	-1.9885	-4.81589	-7.01312	-9.23024
-20.8889	-2.40795	-3.93223	-5.31852	-9.23024	-2.40795	-3.93223	-5.31852	-9.23024
-20.9865	-2.54593	-4.60517	-4.60517	-9.23024	-2.54593	-4.60517	-4.60517	-9.23024
-21.2948	-2.77259	-5.05146	-4.24053	-9.23024	-2.77259	-5.05146	-4.24053	-9.23024
-24.7045	-2.0433	-9.21034	-5.62682	-7.82405	-2.0433	-9.21034	-5.62682	-7.82405
-22.2189	-2.61867	-5.05146	-5.31852	-9.23024	-2.61867	-5.05146	-5.31852	-9.23024
-21.1972	-2.09964	-4.24053	-5.62682	-9.23024	-2.09964	-4.24053	-5.62682	-9.23024
-20.8808	-1.7832	-4.24053	-5.62682	-9.23024	-1.7832	-4.24053	-5.62682	-9.23024
-29.3859	-3.1213	-9.21034	-7.82405	-9.23024	-3.1213	-9.21034	-7.82405	-9.23024
-22.6612	-2.40795	-5.99146	-5.05146	-9.21034	-2.40795	-5.99146	-5.05146	-9.21034
-20.8882	-2.27887	-4.08044	-5.31852	-9.21034	-2.27887	-4.08044	-5.31852	-9.21034
-22.3992	-1.93517	-7.82405	-4.81589	-7.82405	-1.93517	-7.82405	-4.81589	-7.82405
-20.3136	-1.83258	-3.93223	-5.31852	-9.23024	-1.83258	-3.93223	-5.31852	-9.23024
-21.2882	-1.68794	-5.05146	-5.31852	-9.23024	-1.68794	-5.05146	-5.31852	-9.23024
