ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
0.13414	4.767	4.91333	5	
0.141361	12.712	12.86	8	
0.14978	5.5615	6.49333	1	
0.179311	6.356	6.6	1	
0.348294	19.068	23.5933	0	
0.255468	12.712	11.5733	1	
na	0.264833	0.153333	0	
0.413674	5.03184	5.67333	3	
0.258217	5.82634	6.52667	0	
0.132733	17.479	15.72	2	
0.23576	26.7482	26.2	1	
0.178155	7.41534	7.39333	1	
0.237853	11.3878	9.88667	1	
0.166265	16.4197	14.4	0	
0.0589727	10.5933	9.41333	1	
0.442554	8.7395	12.7467	0	
0.241279	7.945	9.27333	1	
0.0601359	10.3285	8.80667	0	
0.349078	12.9768	13.7933	1	
0.241973	9.79884	9.16667	5	
0.107176	17.479	12.2333	1	
0.443709	27.2778	28.9333	5	
0.133047	12.4472	10.64	1	
0.414125	7.41534	6.66667	1	
0.341334	12.9768	14.6133	0	
0.142628	10.8582	9.88667	0	
0.0126812	0.7945	0.566667	0	
0.0792156	4.50217	4.6	1	
0.00643338	1.05933	0.66	0	
0.133668	22.5108	13.6467	2	
0.0881863	9.00434	7.29333	0	
0.39573	29.9262	40.3467	0	
0.101561	10.8582	8.38667	0	
0.0451389	0.7945	0.613333	0	
0.26133	25.6888	25.8133	1	
0.114196	21.9812	15.1867	1	
0.218002	16.4197	9.09333	1	
na	0	0	0	
0.371651	17.2142	22.66	1	
0.136293	14.0362	11.7533	7	
0.490355	11.9175	17.0867	0	
0.371952	16.1548	23.6867	0	
0.135269	12.4472	11.5	0	
0.352176	30.7207	39.8733	3	
0.197856	30.7207	35.4133	0	
0.166369	14.8307	15.2333	0	
0.261132	26.4833	24.2333	3	
0.705166	2.3835	3.82	0	
0.20396	7.68017	8.67333	0	
0.405871	20.9218	23.28	2	
0.17502	2.11867	2.59333	1	
0.342064	16.6845	17.2333	2	
0.208219	23.3053	26.14	0	
0.255642	5.5615	5.10667	2	
0.517072	14.5658	19.52	1	
0.425515	32.0448	24.9933	0	
0.179216	10.8582	10.62	0	
