ZnA[0]	ZnA[1]	ZnA[2]	ZnA[3]	
0.0755581	0.274912	0.094583	0.133589	
0.176196	0.0509259	0.0856746	0.0298898	
0.0726304	0.506173	0.0493513	0.106026	
0.0122712	0.399691	0.0639305	0.296873	
0.00371515	0.433359	0.139835	0.19905	
0.17343	0.225309	0.0212119	0.17221	
0.0220052	0.567901	0.042966	0.092011	
0.0297731	0.143519	0.114938	0.0776171	
0.0031948	0.111111	0.0255371	0.120978	
0.0147212	0.0996473	0.0722364	0.159976	
0.159334	0.268519	0.139863	0.0126033	
0.0335486	0.380897	0.0688871	0.197406	
0.0605446	0.279012	0.0517603	0.256431	
0.135241	0.188272	0.0867063	0.198065	
0.111573	0.833333	0.177703	0.238722	
0.148464	0.450617	0.107053	0.263154	
0.0820836	0.311728	0.0306075	0.15563	
0.0676351	0.218695	0.209658	0.0442306	
0.208546	0.0478395	0.231338	0.179339	
0.0182019	0.577778	0.0216321	0.1375	
0.0634714	0.290917	0.143309	0.124795	
0.122003	0.416005	0.0219036	0.0616785	
0.170377	0.246208	0.129558	0.262323	
0.0740063	0.113228	0.189039	0.0711605	
0.0749499	0.396605	0.0893295	0.38292	
0.164864	0.385802	0.0716683	0.0350034	
0.0392096	0.555556	0.0901487	0.00950413	
0.0909292	0.187169	0.061892	0.148709	
0.0982485	0.139771	0.0870415	0.233585	
0.196797	0.348457	0.119278	0.139207	
0.121469	0.359954	0.0613008	0.127459	
0.115445	0.611111	0.0434993	0.0982955	
0.0942005	0.614198	0.138197	0.221798	
0.165665	0.12037	0.123409	0.426407	
0.0160695	0.266667	0.0843013	0.0645041	
0.165395	0.407407	0.066003	0.209328	
0.143053	0.648148	0.0823578	0.300878	
0.110349	0.068287	0.108544	0.224961	
0.0415656	0.127855	0.0869101	0.1568	
0.0439161	0.262566	0.140539	0.129044	
0.0523679	0.0679012	0.0918554	0.0822388	
0.205022	0.15162	0.15959	0.147122	
0.223277	0.416667	0.09244	0.148701	
0.179086	0.143298	0.0748113	0.203402	
0.0261833	0.657407	0.112113	0.253874	
0.0403901	0.305556	0.0742036	0.379304	
0.0150115	0.354497	0.0644332	0.250636	
0.0554214	0.233466	0.145432	0.0483988	
0.171988	0.0189594	0.0887308	0.278809	
0.138981	0.195767	0.210336	0.284917	
0.126695	0.572222	0.0492296	0.317723	
0.0248091	0.425926	0.0553942	0.385248	
0.0403977	0.414815	0.0289055	0.40582	
0.166013	0.308642	0.134782	0.16816	
0.0567492	0.240079	0.0886704	0.227273	
0.350233	0.0906526	0.169302	0.142397	
0.0564324	0.245591	0.0885932	0.167824	
0.112553	0.0432099	0.155356	0.261711	
0.0609507	0.13133	0.0536696	0.111694	
0.164075	0.21864	0.0549116	0.301019	
0.162444	0.232716	0.0882857	0.141639	
0.128527	0.714286	0.0437728	0.428742	
0.00823348	0.137566	0.200919	0.15567	
0.16441	0.231922	0.254546	0.23221	
0.136131	0.295238	0.116902	0.241463	
0.0794942	0.123457	0.0751202	0.306322	
0.0137367	0.219136	0.137361	0.231771	
0.0559742	0.408951	0.103667	0.116686	
0.160089	0.509259	0.104867	0.0575528	
0.020091	0.679894	0.09636	0.469008	
0.124936	0.355489	0.210545	0.114358	
0.23563	0.548413	0.0711163	0.221389	
0.00781753	0.419753	0.0967913	0.125723	
0.0147897	0.165079	0.10436	0.526407	
0.106209	0.172123	0.226383	0.219008	
0.0510971	0.162346	0.0948548	0.208953	
0.0737845	0.509259	0.117868	0.148148	
0.00329083	0.503704	0.05897	0.17137	
0.0772549	0.30657	0.137601	0.168554	
0.0168827	0.259259	0.10313	0.15213	
0.0943963	0.257716	0.0767083	0.168817	
0.0700805	0.0339506	0.0841146	0.15343	
0.0238822	0.368607	0.0556091	0.221547	
0.0620488	0.0853175	0.049009	0.2587	
0.175647	0.592593	0.0249248	0.182952	
0.0320306	0.198137	0.024757	0.207837	
0.120241	0.279762	0.0695493	0.106267	
0.0499993	0.131393	0.0409025	0.157999	
0.0412763	0.242945	0.12471	0.191632	
0.0555911	0.140741	0.0722538	0.197943	
