thetap[0]	thetap[1]	thetap[2]	thetap[3]	
30.9561	18.8567	75.0844	44.8067	
37.8069	11.9511	89.415	35.255	
21.7194	12.1152	103.655	40.1911	
39.117	24.8236	77.8677	27.4569	
26.1162	18.7514	58.0028	42.5122	
35.4734	21.3419	78.3868	47.8884	
36.2375	20.6063	76.4941	46.7061	
29.6917	16.3392	84.4055	45.936	
41.4485	26.4394	78.2123	43.7634	
37.5457	8.48551	71.8311	34.3061	
33.9474	18.0421	111.926	39.822	
47.0055	25.4721	91.3846	46.8881	
35.8479	18.9981	104.224	49.5808	
17.7728	17.2777	79.7388	38.6398	
31.6776	23.8442	74.4618	43.9092	
31.2756	21.7545	58.746	37.4664	
45.903	22.2934	88.5618	49.0231	
29.3757	23.5105	64.2264	36.0163	
27.6324	15.234	87.9564	45.6757	
17.4572	26.4969	82.4672	49.9288	
51.3388	25.1225	105.32	29.9775	
25.9051	27.9979	78.9214	47.4186	
38.1633	21.0527	83.7257	34.421	
36.7809	15.7446	107.018	31.6707	
31.3203	25.0106	68.199	46.6844	
29.8583	25.5977	68.0271	42.2167	
25.0397	20.3389	66.5016	42.5515	
26.8798	18.4931	94.7246	42.8727	
28.7229	19.8407	72.2281	31.3341	
34.3013	21.8874	81.989	29.8915	
39.3069	18.6596	83.2546	43.4527	
38.6557	23.1885	66.6749	46.5278	
27.0994	23.4285	82.756	31.542	
33.7813	23.5735	55.7365	42.6754	
20.3309	22.7693	92.9613	39.4874	
29.2113	15.762	86.6889	49.645	
29.1777	18.0968	103.359	35.1748	
22.9553	24.5002	98.3882	27.8255	
28.8364	16.6679	86.6436	32.2679	
35.0946	18.309	80.8727	47.9391	
31.7318	10.7506	107.122	41.7435	
21.5284	24.1443	81.204	41.5241	
45.9794	16.1403	93.5414	39.9435	
51.8151	23.002	85.579	34.6922	
14.6169	24.2469	107.603	42.6416	
19.9663	19.6445	90.7797	30.7564	
27.26	22.6767	91.693	48.453	
25.6772	26.7094	92.6935	30.5569	
30.1683	26.5337	103.413	40.5078	
28.1403	13.3004	82.4128	48.0082	
28.5362	24.5875	118.911	35.125	
24.8696	20.2096	60.0357	36.2743	
26.9503	21.368	69.476	44.1019	
24.5279	22.354	110.25	34.1001	
14.1223	25.2937	69.088	41.6906	
41.6521	26.609	70.9337	27.9665	
23.9342	20.9561	98.9369	45.7231	
29.639	21.6755	76.85	46.8774	
29.7217	23.8466	65.3153	45.2658	
23.0931	19.5914	111.825	49.9746	
33.2032	25.7141	73.9081	40.1708	
28.7722	19.0698	94.5132	35.8442	
28.433	24.9466	111.16	37.2535	
41.3834	21.6	85.1467	39.3162	
22.9403	18.926	86.4073	34.6325	
29.427	20.8168	113.53	43.9122	
35.8663	8.26691	75.0628	43.1844	
22.401	26.1083	79.9642	46.7502	
24.7549	26.3938	103.207	37.6254	
43.404	18.4652	89.8869	39.9914	
27.9756	23.6015	59.7541	31.3695	
49.0044	18.656	86.7788	37.6585	
23.2031	15.1716	102.165	45.1584	
28.4435	12.9793	95.0131	37.6525	
33.2766	18.309	91.6022	43.1724	
36.393	13.1711	80.8651	31.8883	
34.5328	13.9815	79.7765	34.7286	
33.4105	18.407	103.376	49.4691	
17.5921	20.4182	82.1305	44.2841	
27.3791	20.089	95.132	24.7435	
15.9566	25.7462	98.774	48.1924	
33.0669	25.5376	85.0694	33.8862	
24.1403	9.14686	51.1771	49.9123	
32.672	20.5193	119.289	46.1516	
43.2694	19.8188	76.9841	36.1634	
39.3663	24.577	60.0273	43.5418	
22.3409	27.8249	82.5998	30.9004	
35.6735	22.302	70.4171	31.3566	
47.518	13.5068	91.4713	44.8318	
27.6405	26.7821	103.657	41.7269	
28.5119	11.1919	71.7209	48.6744	
37.98	23.472	75.9335	43.4904	
22.8041	22.6939	91.2775	32.1451	
30.9027	26.4425	92.6404	39.967	
28.5892	6.87101	75.9226	48.2239	
34.3796	13.9614	90.043	40.0648	
30.0166	16.6068	52.9324	33.3081	
32.4941	21.5751	105.632	33.0525	
31.3125	23.6749	91.1206	46.9711	
26.312	22.9808	103.005	43.1991	
25.1422	20.1912	95.0119	36.9768	
20.5733	23.1763	97.3726	44.1133	
25.7446	22.5498	98.1502	40.376	
17.3537	11.7197	104.872	41.0107	
25.6429	22.702	105.913	45.8102	
31.434	24.1425	89.6398	38.2154	
36.8648	19.1584	84.6154	39.2476	
25.0997	22.3741	48.7692	47.6522	
33.3494	20.754	92.4648	37.3598	
27.7078	25.8473	97.1891	21.9723	
23.5627	9.74131	82.2075	42.6996	
19.1126	24.7343	101.033	33.6033	
36.6005	27.5952	75.0639	45.7432	
28.3069	19.6349	98.7243	26.3226	
41.5143	21.4206	88.7901	41.8821	
24.3714	23.3825	71.6604	44.185	
22.1274	27.4956	111.862	45.3916	
31.545	23.2591	68.9914	38.0216	
39.3584	22.4206	72.6563	44.3524	
35.2107	20.3795	116.936	42.004	
27.7686	14.8919	65.9288	32.2047	
33.9392	22.9189	59.8833	47.7313	
32.8413	27.1458	95.3071	36.835	
25.2241	24.4264	97.4554	26.0375	
50.8708	20.2649	79.0992	40.5357	
23.752	26.2559	101.084	43.4814	
47.7614	20.9689	111.738	47.7454	
30.8642	16.0031	75.5496	48.0383	
21.5416	26.3032	97.4345	35.3843	
23.2089	9.88022	91.0538	32.8792	
22.6349	27.6385	55.0193	48.1063	
30.6377	21.7744	66.7274	33.5137	
21.2707	12.483	104.43	46.5766	
37.4817	23.0147	78.3098	38.8198	
21.5306	26.7628	74.0394	38.6826	
23.728	27.8539	104.369	29.8783	
40.493	15.7178	97.4034	38.5056	
27.9557	27.4557	91.7306	38.8646	
30.8939	12.5388	72.4343	45.4811	
21.7609	24.2372	110.97	41.9276	
37.4717	19.8068	75.2705	46.4162	
31.925	21.0243	79.7123	37.497	
37.1502	24.5928	71.8912	30.544	
38.8245	19.9446	112.608	39.1515	
32.3894	20.1285	83.0626	47.3262	
43.4759	27.6453	116.074	47.6312	
37.9984	17.4279	80.7308	45.1473	
30.9047	20.8586	80.9354	45.2494	
12.7623	22.8386	99.6565	38.0438	
19.6696	21.1496	72.3462	47.3842	
27.2459	26.9812	93.9256	37.4214	
23.4252	23.5182	93.9593	44.9557	
21.3603	16.342	112.463	43.2673	
45.6016	24.8015	79.014	47.2583	
35.9538	10.2937	120.661	31.9578	
28.3138	23.2371	76.2621	39.2953	
41.5182	23.2862	77.5318	40.3671	
29.7097	19.5836	95.2021	45.9544	
20.2696	26.5772	74.7412	41.986	
39.6125	17.2819	120.506	43.3704	
29.9443	24.8093	69.7993	44.7125	
29.3506	25.5048	104.308	47.4149	
25.8144	20.9719	110.04	36.614	
34.9776	25.3319	93.517	39.7049	
24.0729	18.5803	113.4	33.5938	
34.8888	20.2943	90.4956	35.7692	
27.6164	22.7613	91.7049	40.4463	
25.6	11.0413	101.82	29.5305	
21.111	25.488	77.1424	47.5202	
41.4832	24.9502	97.2927	41.7757	
31.3149	27.0506	106.878	36.6461	
27.844	17.5078	99.2796	44.3428	
43.7582	22.3499	81.278	39.2078	
35.7718	23.0537	62.6977	41.0915	
28.6227	10.7214	105.119	42.1049	
32.8177	17.1965	108.571	38.9738	
23.7229	25.0951	89.8437	36.0353	
28.9149	24.6604	116.426	43.3365	
38.9923	17.3001	70.9078	39.6232	
20.5912	15.7265	115.26	38.183	
24.2449	26.5941	122.168	43.0615	
17.677	15.9935	82.3266	43.701	
29.2343	18.8963	109.035	49.857	
26.1517	21.4475	107.075	44.9178	
40.5207	20.4419	99.0469	45.1193	
41.733	24.7946	95.4213	38.8378	
23.1649	16.5332	103.194	47.1185	
30.7432	27.4248	77.4617	49.2456	
27.316	14.3121	90.2072	49.0762	
25.4616	12.0005	73.0067	48.0618	
33.3365	27.6497	92.493	49.4818	
28.8974	22.2907	57.4488	31.8168	
29.1177	25.6691	62.5162	40.4999	
22.8327	15.5801	82.9231	47.1065	
17.9931	21.4884	57.5572	45.4953	
24.6242	22.8235	56.5626	34.4707	
33.4159	14.2404	117.528	36.5779	
23.5893	25.8036	70.2648	35.0797	
27.6203	16.1142	94.4872	44.4499	
25.066	24.0806	89.2064	22.7047	
32.1269	24.7469	71.6083	36.3346	
27.8597	26.4864	78.7476	45.2636	
31.1852	25.0294	86.8267	46.8157	
29.4883	18.381	68.0137	47.6016	
25.3076	22.4179	80.3654	47.7825	
39.2758	19.4443	119.431	42.7205	
34.2949	27.3146	81.2872	48.0293	
27.2581	15.7715	108.038	45.5732	
33.4441	19.5991	87.3185	18.7235	
23.7666	25.0128	110.257	48.7999	
24.4458	25.1073	74.725	43.4781	
37.9	27.4506	93.3804	28.5254	
32.0328	9.91339	82.3031	38.6747	
33.1377	22.085	97.6941	47.5341	
42.7194	16.7748	82.0976	43.1911	
26.0422	26.9109	88.204	47.819	
28.5346	21.7247	78.3398	24.783	
36.3325	20.4533	77.9126	41.5386	
43.0763	25.6053	70.1022	29.482	
48.2801	14.1291	93.2697	30.0512	
28.1232	26.8893	109.652	30.3241	
27.4774	9.37727	73.6364	31.5464	
38.4779	25.5732	75.2609	44.5356	
31.4446	25.6578	122.359	48.015	
37.8886	24.0385	70.9885	28.5118	
23.2252	24.0909	73.8303	41.7161	
23.6069	12.6951	89.7597	45.637	
22.3531	21.1476	113.948	40.9614	
26.2497	26.411	80.2742	46.3946	
46.3904	15.6711	89.1112	32.9909	
23.2573	19.592	109.756	41.8182	
36.377	24.2322	114.674	34.726	
19.3936	27.3893	71.534	36.5264	
26.7492	22.8935	99.3503	26.652	
28.2427	24.3884	84.7942	36.436	
37.1663	20.425	106.444	45.7795	
37.3458	23.4307	71.9965	49.889	
34.5014	20.0015	106.45	39.9125	
25.0726	25.8854	87.4593	45.3058	
34.2372	23.8015	113.499	33.9517	
24.3483	13.4529	86.6958	36.3151	
34.4776	23.8263	101.927	45.3134	
35.4989	17.5907	99.5903	46.7575	
38.7465	14.6819	89.8625	47.1566	
26.2162	23.5384	57.3831	39.9689	
26.0199	18.9536	87.8558	44.1888	
42.1161	25.2607	108.792	26.7417	
14.6111	20.1727	61.0196	34.6127	
25.5242	19.8422	81.8158	39.105	
30.5362	12.5923	98.6465	46.1339	
30.8575	21.396	68.1354	38.1521	
34.469	25.7876	95.3634	40.0279	
15.7151	23.4734	71.0621	47.6398	
34.9601	26.8851	96.4512	40.4176	
27.0551	21.9434	99.8615	36.8677	
20.3196	24.2057	92.0161	36.8268	
31.5295	23.9356	82.5387	38.0216	
20.5675	24.2175	73.413	49.0857	
34.6901	15.5541	75.8607	40.8379	
18.938	27.8008	81.4429	41.1576	
20.7238	18.4982	100.286	22.7402	
14.19	20.9915	88.556	28.6467	
19.1426	24.7044	85.8472	33.1012	
26.7666	25.4751	101.686	39.2863	
28.0441	27.7317	119.771	43.4982	
32.1887	27.5548	110.223	40.3734	
50.1149	22.8644	99.1109	22.2798	
