mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:32:46 2008 

Input data from the file: ex05.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 586

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                5
No_rec_males:          0
Recombination:         10

Pop_size:              1.00E+06
Ifselection:           1
Pop_sel:               20000
Sel_nt:                -10000
Sinit:                 -5E-05

Recombination parameter value for the studied region and all the region until the selective position.


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-1.45023	-0.299964	-1.88589	-2.04485	-2.06377	-2.22122	0.662069	0.2	0.333333	0.202598	na	0.133333	0.351724	0.101751	6	0	0	1.51452	0.744828	0.0827586	-0.690604	0.530749	0.8	0.833333	0	4	0.413793	-1.50717	0.66	na	1.34259	
-2.00763	0.902896	-3.23675	-3.34142	-0.68641	-1.27922	-5.47126	1	1	1	na	0.0666667	0.0666667	0.179505	5	0	0	1.2621	0.333333	5.8046	-1	-4.99486	0.966667	0.966667	0	2	3.06897	2.78003	0.935556	na	15	
-1.147	-1.21145	-1.68214	-1.76554	0.581076	0.129331	-1.86667	na	na	na	na	0.0666667	0.0666667	0.179505	1	0	0	0.25242	0.0666667	1.93333	-1	-4.63096	0.966667	1	0	0	1	2.89147	0.935556	na	15	
-1.25811	1.69953	1.05802	0.44351	1.07504	0.454404	-1.31494	1	1	1	na	0.0666667	0.128736	0.0643678	4	0	0	1.00968	0.514943	1.82989	-0.665852	-1.39983	0.933333	0.933333	0	0	1.17241	0.28754	0.875556	na	7.76786	
-0.218711	2.02941	-1.48449	-1.29133	-1.61663	-1.41155	0.045977	0.5	0.8	0.529781	na	0.1	0.503448	0.144339	5	0	0	1.2621	1.16092	1.11494	-0.10894	0.0419736	0.633333	0.633333	0	3	1.13793	-0.191044	0.513333	na	1.72277	
-1.50738	-0.395629	-2.28108	-2.38176	-2.36814	-2.47612	0.128736	1	1	1	na	0.0666667	0.0666667	0.179505	2	0	0	0.50484	0.133333	0.0045977	-1	0.213465	0.966667	0.966667	0	2	0.0689655	-1.15461	0.935556	na	15	
-1.88948	0.550195	-2.99378	-3.10061	-3.1839	-3.29443	0.257471	1	1	1	na	0.0666667	0.0666667	0.179505	4	0	0	1.00968	0.266667	0.0091954	-1	0.274093	0.966667	0.966667	0	4	0.137931	-1.54032	0.935556	na	15	
-2.00763	0.902896	-3.23675	-3.34142	-0.68641	-1.27922	-5.47126	1	1	1	na	0.0666667	0.0666667	0.179505	5	0	0	1.2621	0.333333	5.8046	-1	-4.99486	0.966667	0.966667	0	2	3.06897	2.78003	0.935556	na	15	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	3.06897	na	1	na	na	
-1.88948	0.550195	-2.99378	-3.10061	-1.05443	-1.52955	-3.6046	1	1	1	na	0.0666667	0.0666667	0.179505	4	0	0	1.00968	0.266667	3.87126	-1	-3.83731	0.966667	0.966667	0	2	2.06897	1.87168	0.935556	na	15	
