Ttot[0]	Ttot[1]	Ttot[2]	Ttot[3]	
0.608011	0.36978	0.457014	0.553675	
0.949758	0.423109	0.48149	0.291288	
0.497024	0.291837	0.522879	0.369398	
0.602111	0.549549	0.53789	0.344851	
0.720725	0.339596	0.729024	0.290345	
0.705475	0.366584	0.605588	0.484061	
0.897109	0.280823	0.438898	0.333946	
0.707493	0.484972	0.483627	0.399119	
0.690985	0.636756	0.41247	0.225393	
0.720516	0.402449	0.42256	0.394675	
0.612952	0.686477	0.477086	0.54272	
0.606974	0.728588	0.553263	0.361434	
0.642194	0.473362	0.523105	0.420132	
0.554261	0.681483	0.564313	0.355269	
0.985873	0.34566	0.547745	0.334579	
0.852224	0.545199	0.570036	0.39114	
0.588619	0.392085	0.494215	0.410312	
0.656609	0.518842	0.567757	0.428119	
0.538613	0.556774	0.642792	0.406956	
0.657912	0.594234	0.496899	0.391311	
0.674219	0.627856	0.455943	0.463286	
0.71266	0.457902	0.454741	0.394391	
0.633576	0.427726	0.614855	0.397299	
0.472599	0.623083	0.46104	0.409373	
0.689026	0.454507	0.462906	0.350923	
0.894593	0.459706	0.511831	0.322716	
0.567378	0.462535	0.542644	0.446925	
1.0531	0.472911	0.422306	0.349883	
0.639527	0.287503	0.500197	0.372331	
0.730469	0.541442	0.804296	0.321446	
0.632556	0.576526	0.404336	0.371703	
0.574704	0.427947	0.431899	0.424104	
0.559315	0.301727	0.636669	0.35033	
0.825297	0.351639	0.684951	0.401072	
0.560265	0.712107	0.579356	0.372592	
0.584336	0.582335	0.633216	0.421406	
0.797131	0.378333	0.510048	0.354474	
0.732038	0.409846	0.496355	0.247256	
0.598219	0.327711	0.582812	0.308845	
0.819818	0.476889	0.448806	0.395381	
0.726242	0.492357	0.446558	0.343822	
0.689603	0.894008	0.627952	0.296585	
0.585591	0.33035	0.452924	0.344596	
0.735842	0.608638	0.623469	0.411162	
0.669191	0.573277	0.462767	0.403255	
0.607099	0.409526	0.554448	0.320862	
0.743143	0.486909	0.52335	0.276626	
0.740179	0.558869	0.460937	0.419538	
0.905711	0.303778	0.492938	0.44625	
0.685438	0.558562	0.498682	0.373913	
0.80277	0.820784	0.488017	0.445359	
0.773797	0.358819	0.444532	0.287842	
0.782356	0.510451	0.477234	0.298267	
0.564635	0.444251	0.569022	0.46432	
0.790065	0.354855	0.644028	0.378239	
0.704018	0.538022	0.466881	0.404859	
0.785813	0.381269	0.521083	0.410535	
0.719817	0.853425	0.541893	0.310356	
0.91695	0.274045	0.484497	0.338527	
0.745274	0.567313	0.577501	0.512624	
0.69499	0.412913	0.44173	0.516686	
0.503497	0.358343	0.579478	0.389983	
0.731128	0.415857	0.632413	0.36139	
0.704557	0.331663	0.45207	0.371232	
0.639464	0.36022	0.647634	0.442894	
0.602204	0.590125	0.550211	0.390191	
0.692239	0.678211	0.450189	0.450406	
0.742371	0.504945	0.51199	0.542201	
0.789507	0.399569	0.595909	0.32968	
0.601902	0.333441	0.516386	0.35726	
0.676497	0.34216	0.490129	0.38999	
0.526553	0.508484	0.602092	0.268074	
0.789508	0.467128	0.526377	0.38116	
0.662763	0.439586	0.43443	0.433338	
0.796081	0.442583	0.49672	0.351964	
0.689155	0.53434	0.39431	0.312106	
0.691839	0.86196	0.427841	0.575352	
0.654259	0.256468	0.579578	0.313623	
0.81299	0.388003	0.899694	0.450088	
0.822075	0.492402	0.501681	0.334687	
0.691385	0.489854	0.62211	0.383199	
0.861116	0.438867	0.558618	0.381094	
0.726258	0.385984	0.55302	0.3798	
0.724772	0.510045	0.558997	0.300213	
0.698869	0.497681	0.485495	0.339649	
0.811621	0.730372	0.56938	0.432307	
0.920298	0.825868	0.480098	0.321245	
0.630402	0.660467	0.556824	0.341884	
0.735272	0.344508	0.618596	0.525942	
0.761877	0.374429	0.606239	0.429518	
0.602244	0.441025	0.450292	0.286718	
0.638554	0.551676	0.478671	0.352467	
0.759537	0.485632	0.417514	0.318966	
0.582087	0.301517	0.515017	0.389725	
0.612039	0.353384	0.435331	0.477857	
0.914476	0.521499	0.491958	0.310063	
0.709005	0.458025	0.535514	0.427531	
0.720745	0.344617	0.475945	0.43718	
0.605443	0.314196	0.448377	0.313653	
1.10973	0.413841	0.441484	0.421211	
0.592307	0.568361	0.518057	0.359737	
0.685828	0.67779	0.408807	0.356726	
0.690334	0.380853	0.557718	0.38236	
0.497106	0.560611	0.565215	0.317008	
0.640881	0.293939	0.452733	0.451927	
0.811401	0.530478	0.555034	0.397429	
0.626873	0.428392	0.423457	0.433625	
0.821547	0.374466	0.581613	0.349525	
0.695639	0.46358	0.504789	0.395404	
0.6579	0.296621	0.443406	0.331628	
0.732477	0.340679	0.513696	0.429871	
