mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:31:24 2008 

Input data from the file: ex00.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 7354

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             25
Thetaw:                5
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
0.580722	0.0260231	0.204919	0.378805	0.163846	0.376005	-1.31667	0.25	0.405405	0.374021	na	0.56	0.91	0.144776	37	0	0	9.79884	11.3	12.6167	0.219506	-0.226246	0.24	0.24	5	9	11.9583	0.739691	0.1264	na	0.176991	
-0.38765	-1.91699	-1.08199	-1.02004	-1.25308	-1.17575	-0.613333	0	0	0.10995	na	0.32	0.806667	0.112312	8	0	0	2.11867	1.86	2.47333	-0.174933	-0.386803	0.36	0.52	1	4	2.16667	0.0538247	0.2256	na	0.537634	
-0.252507	-1.68523	-0.723144	-0.676778	-0.920744	-0.845136	0.02	0.157895	0.2	0.272499	na	0.48	0.853333	0.112377	20	0	0	5.29667	4.92667	4.90667	-0.100091	0.00596019	0.36	0.4	1	8	4.91667	-0.216813	0.1808	na	0.202977	
0.359521	1.77676	-0.998564	-0.700009	-1.13653	-0.815603	0.31	0.4	0.666667	0.42776	na	0.16	0.59	0.147054	6	0	0	1.589	1.78	1.47	0.172227	0.242292	0.52	0.52	0	3	1.625	0.0488871	0.4336	na	0.561798	
-0.874821	-2.34304	-0.93143	-1.06625	-0.580124	-0.807133	-1.44333	0.1	0.181818	0.143802	na	0.36	0.84	0.0948485	11	0	0	2.91317	2.15333	3.59667	-0.37372	-0.709266	0.32	0.56	1	4	2.875	-0.0342415	0.1936	na	0.464396	
-1.30244	-5.93429	-0.907722	-1.20173	-1.11855	-1.42172	1.01333	0.133333	0.1875	0.207381	na	0.52	0.913333	0.0799938	16	0	0	4.23734	2.67333	1.66	-0.528855	0.365619	0.24	0.28	0	7	2.16667	-1.40615	0.1232	na	0.374065	
0.0903371	-1.35152	1.07433	0.906745	1.62816	1.36283	-3.43333	0.166667	0.230769	0.196919	na	0.4	0.873333	0.133673	13	0	0	3.44283	3.53333	6.96667	0.0376633	-1.47299	0.32	0.44	1	0	5.25	1.43508	0.1616	na	0.283019	
0.0688402	-3.16917	0.145275	0.142545	0.0960926	0.105151	0.89	0.0666667	0.125	0.267028	na	0.52	0.903333	0.129518	16	0	0	4.23734	4.32	3.43	0.0279525	0.321119	0.28	0.36	1	4	3.875	-0.246055	0.1328	na	0.231481	
0.976962	-1.08535	-0.103571	0.265311	0.194107	0.545075	-0.353333	0.1875	0.352941	0.25318	na	0.48	0.903333	0.161405	17	0	0	4.50217	5.74	6.09333	0.393942	-0.121093	0.2	0.36	2	4	5.91667	0.916732	0.1328	na	0.174216	
-0.55161	-4.54423	0.0510774	-0.154584	-0.011691	-0.225776	1.86	0.0714286	0.133333	0.149646	na	0.52	0.926667	0.103807	15	0	0	3.9725	3.34667	1.48667	-0.225729	0.708576	0.2	0.36	2	4	2.41667	-1.10983	0.1104	na	0.298805	
-0.680882	-6.1258	-0.689054	-0.802168	-0.861995	-0.96761	0.0666667	0	0	0.0303053	na	0.56	0.91	0.0987027	15	0	0	3.9725	3.2	3.13333	-0.27863	0.025397	0.28	0.28	1	6	3.16667	-0.574831	0.1264	na	0.3125	
1.30341	-2.38321	1.1202	1.37317	1.21219	1.49441	-0.383333	0.0769231	0.142857	0.269412	na	0.52	0.933333	0.179831	14	0	0	3.70767	5.1	5.48333	0.538064	-0.154688	0.16	0.2	3	1	5.29167	1.19027	0.104	na	0.196078	
0.189179	-2.25055	0.897137	0.798936	0.941312	0.84359	2.01667	0	0	0.11577	na	0.4	0.9	0.137405	10	0	0	2.64833	2.8	0.783333	0.0820553	1.06923	0.2	0.24	1	1	1.79167	-0.822665	0.136	na	0.357143	
-0.170273	-1.21096	0.307369	0.188255	0.283677	0.161642	1.66333	0.176471	0.333333	0.262798	na	0.44	0.9	0.120012	18	0	0	4.767	4.54	2.87667	-0.0682302	0.54287	0.24	0.28	1	4	3.70833	-0.656292	0.136	na	0.220264	
-0.88881	-2.18394	-1.36539	-1.42333	-1.51584	-1.57216	0.66	0	0	0.0782132	na	0.24	0.653333	0.093583	5	0	0	1.32417	0.913333	0.253333	-0.444545	0.587852	0.56	0.76	0	3	0.583333	-1.13068	0.3728	na	1.09489	
0.682866	-1.3656	0.456069	0.616741	0.46159	0.651288	2.11	0.166667	0.28	0.278615	na	0.56	0.933333	0.14979	25	0	0	6.62084	7.84667	5.73667	0.265283	0.516855	0.2	0.24	2	5	6.79167	0.0814009	0.104	na	0.127443	
0.458162	-0.544504	0.550434	0.611481	0.574991	0.650498	2.23333	0	0	0.139494	na	0.52	0.926667	0.142518	27	0	0	7.1505	8.03333	5.8	0.176902	0.510774	0.2	0.2	3	5	6.91667	-0.10457	0.1104	na	0.124481	
-0.1775	-1.42001	0.204919	0.0996855	0.163846	0.0555833	0.596667	0.111111	0.162162	0.181024	na	0.6	0.946667	0.1182	37	0	0	9.79884	9.34	8.74333	-0.0670929	0.102527	0.16	0.24	3	9	9.04167	-0.259353	0.0912	na	0.214133	
0.865903	-0.629384	0.652932	0.842093	0.693592	0.912156	0.29	0.173913	0.25	0.273202	na	0.52	0.92	0.157686	24	0	0	6.356	7.85333	7.56333	0.337541	0.0736559	0.2	0.2	3	4	7.70833	0.666268	0.1168	na	0.127334	
-0.323141	-2.41281	0.501103	0.289107	0.511694	0.281898	-6.03333	0.05	0.0952381	0.143673	na	0.52	0.943333	0.114356	21	0	0	5.5615	5.06667	11.1	-0.127486	-1.72323	0.16	0.28	2	4	8.08333	1.38398	0.0944	na	0.197368	
1.39023	0.478067	0.652932	1.03233	0.693592	1.12678	-0.73	0.391304	0.458333	0.527075	na	0.48	0.89	0.176889	24	0	0	6.356	8.76	9.49	0.541929	-0.18541	0.24	0.48	2	4	9.125	1.36423	0.1456	na	0.684932	
-0.29148	-0.708251	0.0163732	-0.0886307	1.55498	1.16262	-4.09667	0.3	0.454545	0.451082	na	0.32	0.72	0.122296	11	0	0	2.91317	2.66	6.75667	-0.124519	-2.01313	0.52	0.52	0	0	4.70833	1.6105	0.3088	na	0.37594	
