mlcoalsim version 094beta (20060404)
OUTPUT FILE: date Wed Apr  5 11:20:41 2006 

Input data from the file: /Users/user/Documents/WorkatUB/mlcoal/mlcoalsim094/build/input.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 111

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1000
N_samples:             20
Thetaw:                5
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-0.80674	-1.916	-1.4413	-1.4585	-1.7297	-1.7359	1.3895	0.22222	0.4	0.26606	na	0.4	0.87895	0.11068	10	0	0	2.8187	2.1684	0.77895	-0.35755	0.077193	0.25	0.4	
0.10874	-0.50445	1.1771	1.005	1.2957	1.1127	-2.1368	0.28571	0.46667	0.33347	na	0.45	0.91579	0.1425	15	0	0	4.228	4.3526	6.4895	0.045669	-0.079142	0.2	0.35	
-0.042852	-4.7223	-0.52854	-0.44927	-0.71126	-0.60438	1.4105	0	0	0.13478	na	0.65	0.95263	0.12845	15	0	0	4.228	4.1789	2.7684	-0.017997	0.052242	0.15	0.2	
0.41589	0.53615	1.2998	1.2075	1.4949	1.3882	-5.9368	0.46667	0.54839	0.56241	na	0.55	0.91579	0.15294	31	0	0	8.738	9.6632	15.6	0.1641	-0.1064	0.2	0.2	
0.95215	4.2686	0.7859	0.97176	0.85728	1.081	1.6211	0.36	0.57692	0.47914	na	0.35	0.83158	0.16939	26	0	0	7.3286	9.1263	7.5053	0.38018	0.034638	0.35	0.35	
0.18556	-2.8685	0.7859	0.7077	0.85728	0.77577	4.0947	0.08	0.15385	0.21226	na	0.7	0.96316	0.14082	26	0	0	7.3286	7.6789	3.5842	0.074089	0.087494	0.15	0.15	
-0.38987	-4.9169	-0.081638	-0.19937	-0.18709	-0.30364	2.0737	0	0	0.13556	na	0.65	0.94737	0.1155	16	0	0	4.5099	4.0368	1.9632	-0.16257	0.072003	0.2	0.2	
-0.1456	-3.0335	0.013494	-0.038409	-0.075791	-0.11852	-0.15789	0.0625	0.11765	0.11733	na	0.6	0.92632	0.1234	17	0	0	4.7918	4.6053	4.7632	-0.060328	-0.00516	0.2	0.25	
-1.2065	-5.1937	-1.351	-1.5211	-1.7143	-1.8806	2.1158	0.052632	0.1	0.11749	na	0.65	0.93158	0.087099	20	0	0	5.6374	3.8474	1.7316	-0.49212	0.058772	0.25	0.35	
0.074343	-2.5696	0.417	0.36831	0.4005	0.35966	1.4211	0	0	0.17545	na	0.55	0.88947	0.1355	14	0	0	3.9462	4.0263	2.6053	0.031475	0.056391	0.25	0.3	
