mlcoalsim version 094beta (20060305)
OUTPUT FILE: date Fri Mar 17 14:53:29 2006 

Input data from the file: /Users/user/Documents/WorkatUB/Stephan/FSall/S20/WallHudson_method/other_alternatives/expansion/R00/theta_avg/L1n20thetaS20D1m0x010R00

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          10000
Seed1:                 974

N_loci:                1
N_sites:               1000
N_samples:             20
Thetaw:                33.84
Recombination:         0
Nintn:                 1
Ts:                    0
Nrec:                  1
Npast:                 0.1
Tpast:                 0.025


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-0.00064712	0.108	0.55648	0.45881	0.55821	0.46406	-0.010526	0	0	0.2103	na	0.35	0.81053	0.13461	11	0	0	3.1006	3.1	3.1105	-0.00028279	-0.00053163	0.4	0.55	
-1.8581	-5.6764	-2.6425	-2.8013	-3.147	-3.3046	0.52632	0.090909	0.16667	0.13832	na	0.5	0.79474	0.061786	12	0	0	3.3824	1.6316	1.1053	-0.80225	0.024366	0.45	0.6	
-0.81241	-4.2419	-1.1184	-1.196	-1.4607	-1.5194	1.1684	0	0	0.061368	na	0.7	0.95789	0.092453	26	0	0	7.3286	5.7947	4.6263	-0.32438	0.024966	0.15	0.25	
-1.7882	-5.7879	-1.6104	-1.936	-2.0729	-2.4116	-1.3368	0.17857	0.24138	0.18501	na	0.7	0.94737	0.058723	29	0	0	8.1742	4.4368	5.7737	-0.70861	-0.02561	0.2	0.35	
-1.0427	-2.7258	-0.1011	-0.4388	-0.21472	-0.58173	-1.8211	0	0	0.070738	na	0.55	0.84211	0.089595	19	0	0	5.3555	3.8789	5.7	-0.42731	-0.053247	0.4	0.5	
-0.56879	-3.6171	-0.6001	-0.68647	-0.80379	-0.88181	0.54737	0.0625	0.11765	0.10166	na	0.6	0.93684	0.10449	17	0	0	4.7918	4.0632	3.5158	-0.23567	0.017888	0.2	0.2	
-0.48627	-4.399	-0.84315	-0.85818	-1.1334	-1.1214	2.7368	0.035714	0.068966	0.10571	na	0.75	0.96842	0.10743	29	0	0	8.1742	7.1579	4.4211	-0.1927	0.05243	0.15	0.2	
-1.2731	-7.2632	-1.2164	-1.4331	-1.5474	-1.7683	2.3684	0.055556	0.10526	0.082774	na	0.7	0.94737	0.075888	19	0	0	5.3555	3.5526	1.1842	-0.52174	0.069252	0.2	0.25	
-0.46068	-3.6331	-0.96607	-0.95097	-1.186	-1.1565	1.4211	0	0	0.066894	na	0.5	0.89474	0.10656	10	0	0	2.8187	2.4474	1.0263	-0.20417	0.078947	0.25	0.35	
-0.59804	-1.9573	-0.56585	-0.66942	-0.78597	-0.88134	2.6526	0	0	0.04742	na	0.6	0.93684	0.10655	25	0	0	7.0467	5.9579	3.3053	-0.23948	0.058947	0.2	0.35	
